FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.81,,23.42
2024-12-31,39.78,$1.70,23.4
2024-09-30,43.9,$1.55,28.32
2024-06-30,37.5,$1.41,26.6
2024-03-31,37.43,$1.74,21.51
2023-12-31,35.13,$1.81,19.41
2023-09-30,32.39,$0.80,40.48
2023-06-30,36.45,$0.79,46.14
2023-03-31,37.18,$0.71,52.37
2022-12-31,38.55,$0.71,54.29
2022-09-30,33.66,$2.19,15.37
2022-06-30,34.58,$2.46,14.06
2022-03-31,40.93,$2.24,18.27
2021-12-31,36.77,$2.35,15.65
2021-09-30,31.18,$2.03,15.36
2021-06-30,32.24,$2.02,15.96
2021-03-31,29.75,$2.48,12.0
2020-12-31,25.94,$2.00,12.97
2020-09-30,24.01,$1.35,17.78
2020-06-30,32.0,$1.24,25.81
2020-03-31,32.75,$1.25,26.2
2019-12-31,39.42,$1.70,23.19
2019-09-30,38.8,$2.15,18.05
2019-06-30,34.14,$0.40,85.36
2019-03-31,32.89,$0.10,328.88
2018-12-31,29.39,$2.05,14.34
2018-09-30,28.82,$-3.82,0.0
2018-06-30,27.57,$-1.91,0.0
2018-03-31,25.83,$-1.80,0.0
2017-12-31,22.99,$-3.88,0.0
2017-09-30,22.9,$-11.70,0.0
2017-06-30,21.42,$-11.70,0.0
2017-03-31,23.08,$-14.65,0.0
2016-12-31,22.2,$-14.34,0.0
2016-09-30,23.46,$-1.43,0.0
2016-06-30,24.49,$-1.39,0.0
2016-03-31,24.97,$1.61,15.51
2015-12-31,21.79,$1.37,15.9
2015-09-30,21.25,$1.17,18.17
2015-06-30,21.86,$1.03,21.22
2015-03-31,23.31,$0.74,31.5
2014-12-31,25.69,$0.70,36.7
2014-09-30,21.91,$1.77,12.38
2014-06-30,22.4,$1.50,14.94
2014-03-31,21.73,$0.96,22.63
2013-12-31,20.81,$0.94,22.14
2013-09-30,22.66,$0.25,90.64
2013-06-30,22.87,$0.74,30.91
2013-03-31,25.54,$1.58,16.16
2012-12-31,24.93,$1.84,13.55
2012-09-30,25.99,$2.42,10.74
2012-06-30,28.67,$2.63,10.9
2012-03-31,26.26,$2.61,10.06
2011-12-31,25.2,$2.03,12.41
2011-09-30,25.24,$2.41,10.47
2011-06-30,24.51,$1.78,13.77
2011-03-31,20.32,$2.22,9.15
2010-12-31,20.0,$2.58,7.75
2010-09-30,20.5,$2.75,7.46
2010-06-30,18.47,$2.93,6.3
2010-03-31,20.19,$3.42,5.9
2009-12-31,23.68,$3.30,7.18
