Crown Crafts PE Ratio Historical Data,Crown Crafts PE Ratio Historical Data,Crown Crafts PE Ratio Historical Data,Crown Crafts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.86,,16.08
2024-12-31,4.49,$0.24,18.71
2024-09-30,4.72,$0.32,14.74
2024-06-30,5.05,$0.42,12.03
2024-03-31,4.85,$0.49,9.9
2023-12-31,4.65,$0.47,9.89
2023-09-30,4.34,$0.43,10.1
2023-06-30,4.55,$0.45,10.1
2023-03-31,5.15,$0.55,9.36
2022-12-31,4.71,$0.71,6.63
2022-09-30,5.02,$0.82,6.12
2022-06-30,5.37,$0.86,6.24
2022-03-31,5.51,$0.99,5.56
2021-12-31,6.09,$0.77,7.9
2021-09-30,5.83,$0.74,7.88
2021-06-30,5.79,$0.74,7.82
2021-03-31,5.96,$0.59,10.1
2020-12-31,5.5,$0.73,7.53
2020-09-30,4.13,$0.73,5.65
2020-06-30,3.54,$0.67,5.28
2020-03-31,3.44,$0.66,5.22
2019-12-31,4.36,$0.64,6.81
2019-09-30,4.22,$0.58,7.27
2019-06-30,3.13,$0.58,5.39
2019-03-31,3.38,$0.50,6.75
2018-12-31,3.48,$0.48,7.25
2018-09-30,3.62,$0.38,9.53
2018-06-30,3.57,$0.27,13.24
2018-03-31,3.65,$0.29,12.58
2017-12-31,3.94,$0.33,11.93
2017-09-30,3.92,$0.47,8.34
2017-06-30,4.14,$0.50,8.28
2017-03-31,4.85,$0.56,8.65
2016-12-31,4.52,$0.62,7.29
2016-09-30,5.61,$0.64,8.76
2016-06-30,5.16,$0.70,7.37
2016-03-31,5.0,$0.68,7.35
2015-12-31,4.43,$0.46,9.63
2015-09-30,4.24,$0.45,9.42
2015-06-30,4.09,$0.37,11.07
2015-03-31,3.92,$0.35,11.21
2014-12-31,3.9,$0.56,6.96
2014-09-30,3.7,$0.54,6.85
2014-06-30,3.83,$0.58,6.6
2014-03-31,3.87,$0.59,6.56
2013-12-31,3.74,$0.57,6.57
2013-09-30,3.44,$0.55,6.26
2013-06-30,2.9,$0.51,5.69
2013-03-31,2.79,$0.52,5.37
2012-12-31,2.3,$0.52,4.42
2012-09-30,2.56,$0.52,4.93
2012-06-30,2.27,$0.55,4.12
2012-03-31,2.16,$0.51,4.23
2011-12-31,1.31,$0.48,2.74
2011-09-30,1.44,$0.40,3.61
2011-06-30,1.9,$0.41,4.64
2011-03-31,1.89,$0.44,4.29
2010-12-31,1.99,$0.53,3.76
2010-09-30,1.86,$0.57,3.25
2010-06-30,1.58,$0.53,2.98
2010-03-31,1.2,$0.51,2.36
2009-12-31,0.97,$-0.89,0.0
