BJ's Restaurants PE Ratio Historical Data,BJ's Restaurants PE Ratio Historical Data,BJ's Restaurants PE Ratio Historical Data,BJ's Restaurants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.91,,49.87
2024-12-31,35.14,$0.68,51.67
2024-09-30,32.56,$1.25,26.05
2024-06-30,34.7,$1.22,28.44
2024-03-31,36.18,$1.00,36.18
2023-12-31,36.01,$0.83,43.39
2023-09-30,23.46,$0.66,35.55
2023-06-30,31.8,$0.75,42.4
2023-03-31,29.14,$0.26,112.08
2022-12-31,26.38,$0.17,155.18
2022-09-30,23.85,$-0.20,0.0
2022-06-30,21.68,$-0.22,0.0
2022-03-31,28.3,$0.03,943.33
2021-12-31,34.55,$-0.17,0.0
2021-09-30,41.76,$-0.78,0.0
2021-06-30,49.14,$-0.99,0.0
2021-03-31,58.08,$-2.63,0.0
2020-12-31,38.49,$-2.71,0.0
2020-09-30,29.44,$-1.15,0.0
2020-06-30,20.94,$-0.67,0.0
2020-03-31,13.89,$1.39,9.99
2019-12-31,37.77,$2.21,17.09
2019-09-30,38.52,$1.95,19.75
2019-06-30,43.44,$2.16,20.11
2019-03-31,46.63,$2.27,20.54
2018-12-31,49.75,$2.37,20.99
2018-09-30,70.9,$3.00,23.63
2018-06-30,58.82,$2.72,21.62
2018-03-31,43.93,$2.37,18.53
2017-12-31,35.52,$2.09,17.0
2017-09-30,29.61,$1.52,19.48
2017-06-30,36.22,$1.71,21.18
2017-03-31,39.29,$1.83,21.47
2016-12-31,38.22,$1.88,20.33
2016-09-30,34.57,$1.76,19.64
2016-06-30,42.62,$1.94,21.97
2016-03-31,40.42,$1.85,21.85
2015-12-31,42.27,$1.74,24.29
2015-09-30,41.84,$1.62,25.83
2015-06-30,47.11,$1.37,34.39
2015-03-31,49.06,$1.18,41.57
2014-12-31,48.82,$0.98,49.82
2014-09-30,35.0,$0.69,50.72
2014-06-30,33.95,$0.59,57.54
2014-03-31,31.81,$0.61,52.14
2013-12-31,30.2,$0.74,40.81
2013-09-30,27.88,$0.96,29.04
2013-06-30,36.08,$1.07,33.72
2013-03-31,32.36,$1.08,29.96
2012-12-31,31.99,$1.09,29.35
2012-09-30,44.1,$1.19,37.06
2012-06-30,36.95,$1.17,31.58
2012-03-31,48.96,$1.14,42.95
2011-12-31,44.07,$1.09,40.43
2011-09-30,42.89,$0.99,43.33
2011-06-30,50.92,$0.97,52.49
2011-03-31,38.24,$0.92,41.57
2010-12-31,34.45,$0.83,41.51
2010-09-30,27.38,$0.65,42.13
2010-06-30,22.95,$0.57,40.26
2010-03-31,22.66,$0.50,45.31
2009-12-31,18.31,$0.48,38.15
