Baozun PE Ratio Historical Data,Baozun PE Ratio Historical Data,Baozun PE Ratio Historical Data,Baozun PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.06,,0.0
2024-09-30,3.58,$-0.54,0.0
2024-06-30,2.34,$-0.62,0.0
2024-03-31,2.3,$-0.60,0.0
2023-12-31,2.74,$-0.66,0.0
2023-09-30,3.1,$-1.25,0.0
2023-06-30,3.99,$-1.36,0.0
2023-03-31,6.02,$-1.50,0.0
2022-12-31,5.3,$-1.58,0.0
2022-09-30,6.28,$-0.90,0.0
2022-06-30,10.94,$-1.12,0.0
2022-03-31,8.58,$-0.77,0.0
2021-12-31,13.9,$-0.48,0.0
2021-09-30,17.53,$0.03,584.33
2021-06-30,35.44,$0.81,43.75
2021-03-31,38.14,$0.93,41.01
2020-12-31,34.35,$0.94,36.54
2020-09-30,32.49,$0.79,41.13
2020-06-30,38.45,$0.72,53.4
2020-03-31,27.94,$0.60,46.57
2019-12-31,33.12,$0.67,49.43
2019-09-30,42.7,$0.79,54.05
2019-06-30,49.86,$0.77,64.75
2019-03-31,41.54,$0.70,59.34
2018-12-31,29.21,$0.66,44.26
2018-09-30,48.58,$0.58,83.76
2018-06-30,54.7,$0.57,95.96
2018-03-31,45.88,$0.56,81.93
2017-12-31,31.56,$0.55,57.38
2017-09-30,32.76,$0.33,99.27
2017-06-30,22.17,$0.32,69.28
2017-03-31,14.94,$0.24,62.25
2016-12-31,12.07,$0.22,54.86
2016-09-30,15.09,$0.10,150.9
2016-06-30,6.49,$0.07,92.71
2016-03-31,5.84,$0.07,83.43
