Sage Therapeutics PE Ratio Historical Data,Sage Therapeutics PE Ratio Historical Data,Sage Therapeutics PE Ratio Historical Data,Sage Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.01,,0.0
2024-12-31,5.43,$-6.59,0.0
2024-09-30,7.22,$-5.58,0.0
2024-06-30,10.86,$-7.42,0.0
2024-03-31,18.74,$-8.40,0.0
2023-12-31,21.67,$-9.06,0.0
2023-09-30,20.58,$-10.98,0.0
2023-06-30,47.02,$-9.92,0.0
2023-03-31,41.96,$-9.37,0.0
2022-12-31,38.14,$-8.98,0.0
2022-09-30,39.16,$-8.63,0.0
2022-06-30,32.3,$-8.53,0.0
2022-03-31,33.1,$-8.23,0.0
2021-12-31,42.54,$-7.80,0.0
2021-09-30,44.31,$12.51,3.54
2021-06-30,56.81,$12.69,4.48
2021-03-31,74.85,$11.89,6.3
2020-12-31,86.51,$11.09,7.8
2020-09-30,61.12,$-10.35,0.0
2020-06-30,41.58,$-11.80,0.0
2020-03-31,28.72,$-12.45,0.0
2019-12-31,72.19,$-13.38,0.0
2019-09-30,140.29,$-13.51,0.0
2019-06-30,183.09,$-12.66,0.0
2019-03-31,159.05,$-9.74,0.0
2018-12-31,95.79,$-8.05,0.0
2018-09-30,141.25,$-6.42,0.0
2018-06-30,156.53,$-5.76,0.0
2018-03-31,161.07,$-7.28,0.0
2017-12-31,164.71,$-7.12,0.0
2017-09-30,62.3,$-6.87,0.0
2017-06-30,79.64,$-6.05,0.0
2017-03-31,71.07,$-5.25,0.0
2016-12-31,51.06,$-4.70,0.0
2016-09-30,46.05,$-4.19,0.0
2016-06-30,30.13,$-3.88,0.0
2016-03-31,32.06,$-3.70,0.0
2015-12-31,58.3,$-3.39,0.0
2015-09-30,42.32,$-2.88,0.0
2015-06-30,73.0,$-2.54,0.0
