TechnipFMC PE Ratio Historical Data,TechnipFMC PE Ratio Historical Data,TechnipFMC PE Ratio Historical Data,TechnipFMC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.29,,15.26
2024-12-31,28.94,$1.92,15.07
2024-09-30,26.18,$1.52,17.23
2024-06-30,26.05,$1.09,23.9
2024-03-31,24.97,$0.47,53.13
2023-12-31,19.99,$0.12,166.57
2023-09-30,20.14,$-0.08,0.0
2023-06-30,16.41,$-0.30,0.0
2023-03-31,13.48,$-0.10,0.0
2022-12-31,12.04,$-0.23,0.0
2022-09-30,8.35,$-0.50,0.0
2022-06-30,6.65,$-0.55,0.0
2022-03-31,7.65,$-0.92,0.0
2021-12-31,5.85,$0.02,292.27
2021-09-30,7.44,$0.28,26.55
2021-06-30,8.94,$0.34,26.28
2021-03-31,7.62,$0.74,10.3
2020-12-31,9.28,$-7.35,0.0
2020-09-30,6.23,$-12.66,0.0
2020-06-30,6.75,$-12.60,0.0
2020-03-31,6.66,$-12.42,0.0
2019-12-31,20.74,$-5.09,0.0
2019-09-30,23.2,$-4.69,0.0
2019-06-30,24.8,$-4.44,0.0
2019-03-31,22.36,$-4.42,0.0
2018-12-31,18.51,$-4.27,0.0
2018-09-30,29.38,$0.40,73.46
2018-06-30,29.71,$0.36,82.52
2018-03-31,27.46,$0.48,57.21
2017-12-31,29.06,$0.69,42.12
2017-09-30,25.79,$1.02,25.29
2017-06-30,25.13,$0.90,27.92
2017-03-31,30.02,$0.56,53.61
2016-12-31,32.82,$0.24,136.75
2016-09-30,27.41,$0.48,57.1
2016-06-30,24.64,$0.69,35.7
2016-03-31,25.27,$1.14,22.17
2015-12-31,26.8,$1.68,15.95
2015-09-30,28.64,$2.16,13.26
2015-06-30,38.33,$2.53,15.15
2015-03-31,34.19,$3.02,11.32
2014-12-31,43.27,$2.96,14.62
2014-09-30,50.17,$2.98,16.84
2014-06-30,56.41,$2.75,20.51
2014-03-31,48.3,$2.24,21.56
2013-12-31,48.23,$2.10,22.97
2013-09-30,51.19,$1.86,27.52
2013-06-30,51.43,$1.78,28.9
2013-03-31,50.24,$1.80,27.91
2012-12-31,39.56,$1.78,22.23
2012-09-30,42.77,$1.69,25.31
2012-06-30,36.24,$1.78,20.36
2012-03-31,46.58,$1.71,27.24
2011-12-31,48.25,$1.65,29.24
2011-09-30,34.73,$1.65,21.05
2011-06-30,41.37,$1.49,27.86
2011-03-31,43.64,$1.49,29.39
2010-12-31,41.07,$1.54,26.75
2010-09-30,31.54,$1.50,21.03
2010-06-30,24.32,$1.53,15.9
2010-03-31,29.85,$1.56,19.14
2009-12-31,26.71,$1.44,18.55
