Qudian PE Ratio Historical Data,Qudian PE Ratio Historical Data,Qudian PE Ratio Historical Data,Qudian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.89,,72.25
2024-09-30,2.13,$0.04,53.25
2024-06-30,1.98,$-0.18,0.0
2024-03-31,2.5,$-0.30,0.0
2023-12-31,2.04,$0.01,204.0
2023-09-30,2.12,$0.39,5.44
2023-06-30,2.0,$0.14,14.29
2023-03-31,1.2,$0.15,8.0
2022-12-31,0.95,$-0.20,0.0
2022-09-30,0.9,$-0.54,0.0
2022-06-30,1.1,$-0.23,0.0
2022-03-31,1.18,$-0.03,0.0
2021-12-31,0.97,$0.34,2.85
2021-09-30,1.46,$0.77,1.9
2021-06-30,2.41,$1.16,2.08
2021-03-31,2.28,$1.10,2.07
2020-12-31,1.38,$0.55,2.51
2020-09-30,1.24,$0.23,5.39
2020-06-30,1.7,$0.36,4.72
2020-03-31,1.8,$0.84,2.14
2019-12-31,4.71,$1.59,2.96
2019-09-30,6.89,$1.89,3.65
2019-06-30,7.5,$1.74,4.31
2019-03-31,5.06,$1.49,3.4
2018-12-31,4.29,$1.16,3.7
