Biglari Holdings PE Ratio Historical Data,Biglari Holdings PE Ratio Historical Data,Biglari Holdings PE Ratio Historical Data,Biglari Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,224.03,,0.0
2024-12-31,254.29,$-14.16,0.0
2024-09-30,172.01,$176.49,0.97
2024-06-30,193.38,$-133.83,0.0
2024-03-31,189.68,$44.70,4.24
2023-12-31,164.93,$187.42,0.88
2023-09-30,166.0,$66.24,2.51
2023-06-30,197.14,$370.92,0.53
2023-03-31,169.2,$119.91,1.41
2022-12-31,138.8,$-103.35,0.0
2022-09-30,115.6,$-150.18,0.0
2022-06-30,122.7,$-293.05,0.0
2022-03-31,144.61,$-112.72,0.0
2021-12-31,142.57,$111.55,1.28
2021-09-30,171.81,$228.72,0.75
2021-06-30,159.47,$322.53,0.49
2021-03-31,132.76,$508.08,0.26
2020-12-31,111.2,$-115.58,0.0
2020-09-30,89.01,$-179.15,0.0
2020-06-30,68.98,$-239.27,0.0
2020-03-31,51.4,$-297.28,0.0
2019-12-31,114.42,$131.45,0.87
2019-09-30,109.0,$214.34,0.51
2019-06-30,103.86,$174.89,0.59
2019-03-31,141.36,$89.66,1.58
2018-12-31,113.58,$56.15,2.02
2018-09-30,181.35,$-9.41,0.0
2018-06-30,183.49,$10.00,18.35
2018-03-31,408.41,$48.90,8.35
2017-12-31,414.4,$41.23,10.05
2017-09-30,333.29,$42.31,7.88
2017-06-30,399.74,$12.92,30.94
2017-03-31,431.98,$26.32,16.41
2016-12-31,473.2,$80.30,5.89
2016-09-30,436.02,$-5.63,0.0
2016-06-30,403.34,$51.20,7.88
2016-03-31,371.71,$20.64,18.01
2015-12-31,325.82,$-15.16,0.0
2015-09-30,365.74,$12.72,28.75
2015-06-30,413.75,$10.32,40.09
2015-03-31,414.1,$16.42,25.22
2014-12-31,399.51,$7.40,53.99
2014-09-30,339.76,$17.76,19.13
2014-06-30,422.97,$12.81,33.02
2014-03-31,487.49,$86.86,5.61
2013-12-31,506.64,$92.15,5.5
2013-09-30,412.67,$85.21,4.84
2013-06-30,380.77,$85.21,4.47
2013-03-31,346.24,$8.68,39.89
2012-12-31,361.86,$10.44,34.66
2012-09-30,338.7,$13.60,24.9
2012-06-30,358.49,$13.60,26.36
2012-03-31,373.76,$16.46,22.71
2011-12-31,341.65,$17.30,19.75
2011-09-30,274.99,$17.80,15.45
2011-06-30,362.81,$17.80,20.38
2011-03-31,392.97,$17.54,22.4
2010-12-31,380.59,$17.15,22.19
2010-09-30,304.92,$13.89,21.95
2010-06-30,266.18,$13.89,19.16
2010-03-31,353.74,$10.26,34.48
2009-12-31,300.72,$8.02,37.5
