First American Financial PE Ratio Historical Data,First American Financial PE Ratio Historical Data,First American Financial PE Ratio Historical Data,First American Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,65.41,,52.33
2024-12-31,62.44,$1.25,49.95
2024-09-30,65.49,$0.89,73.58
2024-06-30,53.08,$1.87,28.39
2024-03-31,59.47,$2.09,28.45
2023-12-31,62.19,$2.08,29.9
2023-09-30,54.05,$2.27,23.81
2023-06-30,54.09,$2.31,23.42
2023-03-31,52.32,$1.99,26.29
2022-12-31,48.73,$2.43,20.05
2022-09-30,42.49,$4.24,10.02
2022-06-30,48.3,$8.22,5.88
2022-03-31,58.66,$9.93,5.91
2021-12-31,70.24,$11.15,6.3
2021-09-30,59.81,$11.31,5.29
2021-06-30,55.2,$8.93,6.18
2021-03-31,49.8,$7.73,6.44
2020-12-31,44.98,$6.18,7.28
2020-09-30,43.93,$5.66,7.76
2020-06-30,41.09,$5.69,7.22
2020-03-31,35.99,$5.81,6.19
2019-12-31,49.16,$6.23,7.89
2019-09-30,49.42,$5.07,9.75
2019-06-30,44.65,$4.76,9.38
2019-03-31,42.49,$4.49,9.46
2018-12-31,36.52,$4.19,8.72
2018-09-30,41.82,$5.34,7.83
2018-06-30,41.62,$4.19,9.93
2018-03-31,46.88,$3.91,11.99
2017-12-31,44.48,$3.76,11.83
2017-09-30,39.39,$2.53,15.57
2017-06-30,34.94,$3.30,10.59
2017-03-31,30.47,$3.13,9.74
2016-12-31,28.17,$3.08,9.15
2016-09-30,29.93,$3.09,9.68
2016-06-30,30.4,$2.82,10.78
2016-03-31,28.61,$2.75,10.4
2015-12-31,26.76,$2.62,10.22
2015-09-30,28.94,$2.62,11.05
2015-06-30,27.38,$2.67,10.26
2015-03-31,26.07,$2.29,11.39
2014-12-31,24.59,$2.15,11.44
2014-09-30,19.53,$1.89,10.33
2014-06-30,19.84,$1.74,11.4
2014-03-31,18.8,$1.58,11.9
2013-12-31,19.87,$1.71,11.62
2013-09-30,17.08,$2.08,8.21
2013-06-30,15.38,$2.44,6.3
2013-03-31,17.75,$2.81,6.32
2012-12-31,16.64,$2.77,6.01
2012-09-30,14.89,$2.30,6.48
2012-06-30,11.61,$1.55,7.49
2012-03-31,11.33,$1.17,9.69
2011-12-31,8.59,$0.73,11.77
2011-09-30,8.64,$0.79,10.94
2011-06-30,10.51,$0.90,11.68
2011-03-31,11.04,$0.92,12.0
