My Size PE Ratio Historical Data,My Size PE Ratio Historical Data,My Size PE Ratio Historical Data,My Size PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.23,,0.0
2024-09-30,1.68,$-6.89,0.0
2024-06-30,2.64,$-9.16,0.0
2024-03-31,3.41,$-22.28,0.0
2023-12-31,5.4,$-33.84,0.0
2023-09-30,6.91,$-31.36,0.0
2023-06-30,8.8,$-43.84,0.0
2023-03-31,14.16,$-43.44,0.0
2022-12-31,21.76,$-48.00,0.0
2022-09-30,40.0,$-48.00,0.0
2022-06-30,38.2,$-58.00,0.0
2022-03-31,69.0,$-110.00,0.0
2021-12-31,101.0,$-124.00,0.0
2021-09-30,274.0,$-168.00,0.0
2021-06-30,308.0,$-188.00,0.0
2021-03-31,232.0,$-172.00,0.0
2020-12-31,282.0,$-256.00,0.0
2020-09-30,206.0,$-212.00,0.0
2020-06-30,212.0,$-315.93,0.0
2020-03-31,325.0,$-415.85,0.0
2019-12-31,663.18,$-449.78,0.0
2019-09-30,1439.4,$-509.75,0.0
2019-06-30,2040.0,$-509.75,0.0
2019-03-31,2340.3,$-299.85,0.0
2018-12-31,2311.2,$-749.63,0.0
2018-09-30,3510.0,$-689.66,0.0
2018-06-30,2734.5,$-659.67,0.0
2018-03-31,4200.0,$-929.54,0.0
2017-12-31,1943.7,$-569.72,0.0
2017-09-30,2163.0,$-569.72,0.0
2017-06-30,3544.2,$-449.78,0.0
