Hooker Furnishings PE Ratio Historical Data,Hooker Furnishings PE Ratio Historical Data,Hooker Furnishings PE Ratio Historical Data,Hooker Furnishings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.49,,0.0
2024-10-31,15.82,$-0.91,0.0
2024-07-31,14.86,$0.13,114.28
2024-04-30,16.27,$0.39,41.72
2024-01-31,21.88,$0.91,24.04
2023-10-31,15.7,$-0.75,0.0
2023-07-31,18.64,$-0.98,0.0
2023-04-30,14.51,$-0.59,0.0
2023-01-31,19.12,$-0.46,0.0
2022-10-31,13.54,$0.81,16.72
2022-07-31,14.63,$0.29,50.45
2022-04-30,14.72,$0.45,32.71
2022-01-31,19.05,$0.97,19.64
2021-10-31,21.6,$2.01,10.75
2021-07-31,28.25,$2.95,9.58
2021-04-30,31.79,$2.81,11.31
2021-01-31,25.41,$-0.92,0.0
2020-10-31,23.07,$-1.04,0.0
2020-07-31,17.85,$-1.55,0.0
2020-04-30,12.4,$-1.68,0.0
2020-01-31,20.14,$1.44,13.98
2019-10-31,19.22,$2.09,9.2
2019-07-31,16.81,$2.55,6.59
2019-04-30,23.85,$2.94,8.11
2019-01-31,22.9,$3.38,6.77
2018-10-31,23.17,$2.89,8.02
2018-07-31,35.54,$2.71,13.11
2018-04-30,29.69,$2.64,11.25
2018-01-31,29.12,$2.44,11.93
2017-10-31,37.03,$2.64,14.03
2017-07-31,32.88,$2.59,12.69
2017-04-30,33.75,$2.38,14.18
2017-01-31,25.69,$2.19,11.73
2016-10-31,20.28,$1.62,12.52
2016-07-31,17.76,$1.49,11.92
2016-04-30,18.97,$1.39,13.65
2016-01-31,21.89,$1.49,14.69
2015-10-31,18.85,$1.51,12.48
2015-07-31,18.87,$1.38,13.68
2015-04-30,19.18,$1.23,15.59
2015-01-31,13.52,$1.17,11.56
2014-10-31,11.39,$0.96,11.87
2014-07-31,10.75,$0.86,12.5
2014-04-30,10.18,$0.81,12.57
2014-01-31,11.06,$0.75,14.75
2013-10-31,11.47,$0.90,12.74
2013-07-31,12.11,$0.93,13.03
2013-04-30,12.38,$0.91,13.6
2013-01-31,10.75,$0.80,13.43
2012-10-31,9.57,$0.52,18.4
2012-07-31,8.2,$0.50,16.4
2012-04-30,8.17,$0.51,16.02
2012-01-31,8.25,$0.47,17.56
2011-10-31,6.58,$0.39,16.86
2011-07-31,6.04,$0.29,20.83
2011-04-30,8.26,$0.25,33.04
2011-01-31,8.84,$0.30,29.46
2010-10-31,6.9,$0.60,11.51
2010-07-31,7.65,$0.58,13.18
2010-04-30,10.14,$0.43,23.57
2010-01-31,8.11,$0.29,27.97
2009-10-31,8.11,$-0.06,0.0
