United Security Bancshares PE Ratio Historical Data,United Security Bancshares PE Ratio Historical Data,United Security Bancshares PE Ratio Historical Data,United Security Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.04,,8.86
2024-09-30,8.59,$1.02,8.42
2024-06-30,7.03,$1.03,6.83
2024-03-31,7.36,$1.04,7.08
2023-12-31,7.91,$1.16,6.82
2023-09-30,6.88,$1.16,5.93
2023-06-30,6.05,$1.19,5.09
2023-03-31,5.7,$1.13,5.04
2022-12-31,6.43,$0.91,7.06
2022-09-30,5.64,$0.80,7.05
2022-06-30,6.49,$0.69,9.41
2022-03-31,6.98,$0.65,10.74
2021-12-31,6.83,$0.59,11.57
2021-09-30,6.54,$0.50,13.08
2021-06-30,6.6,$0.48,13.74
2021-03-31,6.52,$0.44,14.83
2020-12-31,5.62,$0.52,10.8
2020-09-30,4.71,$0.58,8.12
2020-06-30,5.07,$0.70,7.25
2020-03-31,4.75,$0.82,5.79
2019-12-31,7.96,$0.90,8.85
2019-09-30,7.65,$0.96,7.97
2019-06-30,8.2,$0.92,8.91
2019-03-31,7.55,$0.88,8.58
2018-12-31,6.75,$0.83,8.13
2018-09-30,7.75,$0.70,11.07
2018-06-30,7.76,$0.65,11.93
2018-03-31,7.38,$0.60,12.31
2017-12-31,7.51,$0.51,14.72
2017-09-30,6.44,$0.50,12.9
2017-06-30,6.23,$0.46,13.65
2017-03-31,4.84,$0.42,11.44
2016-12-31,5.14,$0.43,11.99
2016-09-30,4.11,$0.43,9.45
2016-06-30,4.13,$0.43,9.6
2016-03-31,3.19,$0.44,7.32
2015-12-31,3.41,$0.40,8.45
2015-09-30,3.31,$0.40,8.29
2015-06-30,3.12,$0.39,8.07
2015-03-31,3.29,$0.39,8.43
2014-12-31,3.31,$0.37,8.96
2014-09-30,3.35,$0.45,7.38
2014-06-30,3.31,$0.47,7.07
2014-03-31,3.26,$0.43,7.6
2013-12-31,2.87,$0.44,6.58
2013-09-30,2.44,$0.35,7.06
2013-06-30,2.42,$0.32,7.64
2013-03-31,2.52,$0.36,6.92
2012-12-31,1.43,$0.37,3.88
2012-09-30,1.4,$0.08,17.6
2012-06-30,1.32,$-0.09,0.0
2012-03-31,1.34,$-0.41,0.0
2011-12-31,1.18,$-0.45,0.0
2011-09-30,1.59,$-0.61,0.0
2011-06-30,1.64,$-0.50,0.0
2011-03-31,1.91,$-0.28,0.0
2010-12-31,1.95,$-0.27,0.0
2010-09-30,2.33,$0.06,37.38
2010-06-30,1.85,$0.08,22.03
2010-03-31,2.49,$-0.30,0.0
2009-12-31,2.19,$-0.27,0.0
