Immix Biopharma PE Ratio Historical Data,Immix Biopharma PE Ratio Historical Data,Immix Biopharma PE Ratio Historical Data,Immix Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.82,,0.0
2024-09-30,1.49,$-0.85,0.0
2024-06-30,1.98,$-0.84,0.0
2024-03-31,3.07,$-0.93,0.0
2023-12-31,6.92,$-0.89,0.0
2023-09-30,3.42,$-0.92,0.0
2023-06-30,2.69,$-0.80,0.0
2023-03-31,1.82,$-0.67,0.0
2022-12-31,2.29,$-0.59,0.0
2022-09-30,1.36,$-0.32,0.0
