Quantum PE Ratio Historical Data,Quantum PE Ratio Historical Data,Quantum PE Ratio Historical Data,Quantum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.45,,0.0
2024-12-31,53.92,$-21.78,0.0
2024-09-30,3.5,$-7.22,0.0
2024-06-30,8.18,$-4.40,0.0
2024-03-31,11.9,$-2.20,0.0
2023-12-31,6.98,$-5.20,0.0
2023-09-30,12.2,$-5.60,0.0
2023-06-30,21.6,$-8.20,0.0
2023-03-31,23.0,$-8.60,0.0
2022-12-31,21.8,$-8.20,0.0
2022-09-30,21.6,$-11.60,0.0
2022-06-30,28.4,$-12.20,0.0
2022-03-31,45.4,$-11.00,0.0
2021-12-31,110.4,$-15.40,0.0
2021-09-30,103.6,$-13.00,0.0
2021-06-30,137.8,$-12.00,0.0
2021-03-31,166.6,$-16.00,0.0
2020-12-31,122.4,$-11.00,0.0
2020-09-30,92.0,$-7.60,0.0
2020-06-30,77.2,$-6.60,0.0
2020-03-31,59.0,$-3.40,0.0
2019-12-31,32.4,$-1.40,0.0
2019-09-30,32.4,$-3.40,0.0
2019-06-30,32.4,$-2.20,0.0
2019-03-31,32.4,0,0.0
2018-12-31,40.0,0,0.0
2018-09-30,48.0,0,0.0
2018-06-30,44.0,$-4.60,0.0
2018-03-31,72.8,$-6.80,0.0
2017-12-31,112.6,$-8.00,0.0
2017-09-30,122.4,$-4.80,0.0
2017-06-30,156.2,$1.40,111.57
2017-03-31,139.2,$2.00,69.6
2016-12-31,133.14,$-28.80,0.0
2016-09-30,117.79,$-32.00,0.0
2016-06-30,67.2,$-40.00,0.0
2016-03-31,97.6,$-44.80,0.0
2015-12-31,148.8,$-6.40,0.0
2015-09-30,111.57,$-1.60,0.0
2015-06-30,268.8,$4.80,56.0
2015-03-31,256.0,$8.00,32.0
2014-12-31,281.6,$-8.00,0.0
2014-09-30,185.6,$-14.40,0.0
2014-06-30,195.2,$-19.20,0.0
2014-03-31,195.2,$-14.40,0.0
2013-12-31,192.0,$-14.40,0.0
2013-09-30,220.8,$-19.20,0.0
2013-06-30,219.2,$-22.40,0.0
2013-03-31,204.8,$-35.20,0.0
2012-12-31,198.4,$-33.60,0.0
2012-09-30,257.6,$-24.00,0.0
2012-06-30,324.8,$-14.40,0.0
2012-03-31,419.2,$-6.40,0.0
2011-12-31,384.0,$-0.00,0.0
2011-09-30,289.6,$1.60,181.0
2011-06-30,528.0,$1.60,330.0
2011-03-31,403.2,$3.20,126.0
2010-12-31,595.2,$1.60,372.0
2010-09-30,339.2,0,0.0
2010-06-30,300.8,$6.40,47.0
2010-03-31,420.8,$11.20,37.57
2009-12-31,468.8,$6.40,73.25
