Polestar Automotive Holding UK PE Ratio Historical Data,Polestar Automotive Holding UK PE Ratio Historical Data,Polestar Automotive Holding UK PE Ratio Historical Data,Polestar Automotive Holding UK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.08,,0.0
2024-06-30,0.79,$-0.56,0.0
2023-12-31,2.26,$-0.57,0.0
2023-09-30,2.64,$-0.22,0.0
2023-06-30,3.82,$-0.01,0.0
2023-03-31,3.79,$0.13,29.15
2022-12-31,5.31,$0.14,37.93
2022-09-30,5.06,$0.14,36.14
2022-06-30,8.81,0,0.0
2022-03-31,11.37,0,0.0
