Gulf Resources PE Ratio Historical Data,Gulf Resources PE Ratio Historical Data,Gulf Resources PE Ratio Historical Data,Gulf Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.74,,0.0
2024-09-30,0.96,$-9.42,0.0
2024-06-30,1.03,$-9.26,0.0
2024-03-31,1.48,$-6.24,0.0
2023-12-31,1.65,$-5.92,0.0
2023-09-30,1.87,$-0.51,0.0
2023-06-30,2.5,$0.52,4.81
2023-03-31,2.68,$0.96,2.79
2022-12-31,3.09,$1.00,3.09
2022-09-30,3.36,$1.11,3.03
2022-06-30,4.36,$0.77,5.66
2022-03-31,4.24,$0.14,30.29
2021-12-31,4.33,$-0.10,0.0
2021-09-30,4.48,$0.05,89.6
2021-06-30,6.33,$-0.77,0.0
2021-03-31,4.35,$-0.75,0.0
2020-12-31,4.12,$-0.87,0.0
2020-09-30,5.5,$-0.91,0.0
2020-06-30,5.35,$-1.96,0.0
2020-03-31,3.38,$-1.82,0.0
2019-12-31,2.55,$-1.95,0.0
2019-09-30,3.49,$-6.10,0.0
2019-06-30,5.0,$-6.85,0.0
2019-03-31,5.35,$-7.25,0.0
2018-12-31,3.9,$-7.50,0.0
2018-09-30,5.2,$-5.75,0.0
2018-06-30,6.9,$-3.30,0.0
2018-03-31,7.15,$-1.35,0.0
2017-12-31,7.35,$0.25,29.4
2017-09-30,9.45,$3.30,2.86
2017-06-30,7.95,$4.10,1.94
2017-03-31,8.9,$4.05,2.2
2016-12-31,9.75,$3.90,2.5
2016-09-30,10.7,$4.05,2.64
2016-06-30,7.7,$4.05,1.9
2016-03-31,8.05,$3.80,2.12
2015-12-31,9.1,$3.70,2.46
2015-09-30,7.05,$3.30,2.14
2015-06-30,10.33,$2.80,3.69
2015-03-31,8.3,$2.35,3.53
2014-12-31,5.8,$2.30,2.52
2014-09-30,7.15,$2.60,2.75
2014-06-30,10.7,$3.00,3.57
2014-03-31,12.1,$3.00,4.03
2013-12-31,11.75,$2.70,4.35
2013-09-30,8.55,$2.25,3.8
2013-06-30,5.8,$1.80,3.22
2013-03-31,5.5,$1.90,2.89
2012-12-31,5.8,$2.15,2.7
2012-09-30,5.6,$2.05,2.73
2012-06-30,6.1,$2.25,2.71
2012-03-31,11.75,$2.90,4.05
2011-12-31,8.95,$4.40,2.03
2011-09-30,11.15,$6.00,1.86
2011-06-30,15.5,$7.35,2.11
2011-03-31,30.95,$8.25,3.75
2010-12-31,53.45,$7.40,7.22
2010-09-30,38.45,$6.70,5.74
2010-06-30,42.95,$5.90,7.28
2010-03-31,58.05,$4.95,11.73
2009-12-31,58.3,$5.00,11.66
