MasterBrand PE Ratio Historical Data,MasterBrand PE Ratio Historical Data,MasterBrand PE Ratio Historical Data,MasterBrand PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.8,,14.23
2024-12-31,14.61,$0.97,15.06
2024-09-30,18.54,$1.14,16.26
2024-06-30,14.68,$1.38,10.64
2024-03-31,18.74,$1.42,13.2
2023-12-31,14.85,$1.40,10.61
2023-09-30,12.15,$1.24,9.8
