Ark Restaurants PE Ratio Historical Data,Ark Restaurants PE Ratio Historical Data,Ark Restaurants PE Ratio Historical Data,Ark Restaurants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.14,,0.0
2024-12-31,11.0,$-0.58,0.0
2024-09-30,11.99,$-1.08,0.0
2024-06-30,13.11,$-2.72,0.0
2024-03-31,13.58,$-2.02,0.0
2023-12-31,13.71,$-1.75,0.0
2023-09-30,14.68,$-1.66,0.0
2023-06-30,17.61,$1.43,12.32
2023-03-31,16.65,$2.01,8.28
2022-12-31,15.5,$2.43,6.38
2022-09-30,17.28,$2.57,6.73
2022-06-30,16.63,$4.25,3.91
2022-03-31,16.94,$3.52,4.81
2021-12-31,15.43,$4.38,3.52
2021-09-30,14.4,$3.55,4.06
2021-06-30,18.12,$1.12,16.17
2021-03-31,18.47,$-0.33,0.0
2020-12-31,17.79,$-1.99,0.0
2020-09-30,9.96,$-1.34,0.0
2020-06-30,11.33,$-0.96,0.0
2020-03-31,9.7,$0.88,11.02
2019-12-31,20.63,$1.20,17.19
2019-09-30,18.93,$0.75,25.25
2019-06-30,18.31,$1.19,15.38
2019-03-31,17.23,$0.82,21.01
2018-12-31,16.03,$0.82,19.55
2018-09-30,20.33,$1.30,15.64
2018-06-30,21.55,$1.39,15.5
2018-03-31,20.54,$1.03,19.94
2017-12-31,22.9,$1.11,20.63
2017-09-30,20.45,$1.14,17.94
2017-06-30,20.14,$1.05,19.18
2017-03-31,20.8,$1.62,12.84
2016-12-31,19.75,$1.54,12.82
2016-09-30,18.07,$1.14,15.85
2016-06-30,17.78,$1.43,12.44
2016-03-31,16.22,$1.39,11.67
2015-12-31,18.07,$1.41,12.81
2015-09-30,17.58,$1.53,11.49
2015-06-30,19.06,$1.62,11.77
2015-03-31,18.47,$1.35,13.68
2014-12-31,16.82,$1.47,11.44
2014-09-30,16.57,$1.43,11.59
2014-06-30,16.28,$1.20,13.56
2014-03-31,15.98,$1.32,12.1
2013-12-31,15.35,$1.29,11.9
2013-09-30,15.12,$1.12,13.5
2013-06-30,14.75,$1.25,11.8
2013-03-31,14.45,$1.38,10.47
2012-12-31,11.47,$1.34,8.56
2012-09-30,11.3,$1.65,6.85
2012-06-30,9.54,$1.34,7.12
2012-03-31,10.45,$1.09,9.59
2011-12-31,8.57,$0.77,11.13
2011-09-30,8.32,$0.40,20.8
2011-06-30,9.4,$0.46,20.43
2011-03-31,8.61,$0.64,13.45
2010-12-31,8.52,$0.89,9.58
2010-09-30,8.64,$0.74,11.68
2010-06-30,7.72,$0.81,9.53
2010-03-31,7.61,$0.44,17.29
2009-12-31,8.03,$0.43,18.66
