Scienjoy Holding PE Ratio Historical Data,Scienjoy Holding PE Ratio Historical Data,Scienjoy Holding PE Ratio Historical Data,Scienjoy Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.94,,2.19
2024-09-30,0.95,$0.43,2.21
2024-06-30,0.95,$0.42,2.26
2024-03-31,1.05,$0.56,1.88
2023-06-30,2.74,$0.91,3.01
2023-03-31,4.09,$0.97,4.22
2022-06-30,3.27,$0.98,3.34
2022-03-31,4.49,$1.09,4.12
2021-03-31,9.0,$0.61,14.75
2020-12-31,8.66,$0.12,72.17
2020-09-30,5.7,$0.06,95.0
2020-03-31,10.23,$-0.39,0.0
2019-12-31,10.14,$-0.35,0.0
