Air T PE Ratio Historical Data,Air T PE Ratio Historical Data,Air T PE Ratio Historical Data,Air T PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.12,,0.0
2024-12-31,19.95,$-0.28,0.0
2024-09-30,16.16,$-0.87,0.0
2024-06-30,21.33,$-2.35,0.0
2024-03-31,22.2,$-2.42,0.0
2023-12-31,16.9,$-4.97,0.0
2023-09-30,22.35,$-4.12,0.0
2023-06-30,25.1,$-3.98,0.0
2023-03-31,25.05,$-4.29,0.0
2022-12-31,24.72,$0.37,66.81
2022-09-30,17.12,$0.14,122.29
2022-06-30,16.46,$3.17,5.19
2022-03-31,22.75,$3.77,6.03
2021-12-31,25.15,$0.30,83.83
2021-09-30,28.68,$1.47,19.51
2021-06-30,24.71,$-2.14,0.0
2021-03-31,23.77,$-2.53,0.0
2020-12-31,24.9,$-0.37,0.0
2020-09-30,9.74,$-1.24,0.0
2020-06-30,11.75,$1.66,7.08
2020-03-31,12.51,$2.74,4.57
2019-12-31,20.15,$3.79,5.32
2019-09-30,18.78,$3.04,6.18
2019-06-30,17.49,$0.71,24.52
2019-03-31,13.42,$0.84,15.91
2018-12-31,10.89,$0.10,108.78
2018-09-30,14.98,$0.77,19.37
2018-06-30,14.82,$1.35,11.01
2018-03-31,11.24,$0.74,15.2
2017-12-31,10.97,$0.31,35.79
2017-09-30,7.85,$0.81,9.73
2017-06-30,9.42,$1.01,9.3
2017-03-31,8.96,$-0.33,0.0
2016-12-31,10.22,$-0.71,0.0
2016-09-30,9.08,$-0.17,0.0
2016-06-30,9.56,$0.54,17.7
2016-03-31,10.74,$1.37,7.86
2015-12-31,10.88,$1.43,7.59
2015-09-30,7.91,$1.01,7.81
2015-06-30,9.31,$0.47,19.67
2015-03-31,10.93,$0.70,15.62
2014-12-31,11.36,$1.05,10.79
2014-09-30,5.79,$0.77,7.48
2014-06-30,5.78,$0.38,15.2
2014-03-31,5.38,$0.40,13.44
2013-12-31,5.32,$0.39,13.52
2013-09-30,5.0,$0.44,11.36
2013-06-30,4.57,$0.38,12.02
2013-03-31,4.1,$0.45,9.04
2012-12-31,3.65,$0.35,10.54
2012-09-30,3.62,$0.33,10.87
2012-06-30,3.77,$0.43,8.7
2012-03-31,4.0,$0.37,10.9
2011-12-31,3.55,$0.56,6.35
2011-09-30,3.14,$0.56,5.61
2011-06-30,3.82,$0.55,6.98
2011-03-31,3.83,$0.58,6.61
2010-12-31,3.97,$0.53,7.45
2010-09-30,3.64,$0.71,5.1
2010-06-30,4.26,$0.80,5.33
2010-03-31,4.53,$1.03,4.42
2009-12-31,3.76,$1.09,3.46
