FB Financial PE Ratio Historical Data,FB Financial PE Ratio Historical Data,FB Financial PE Ratio Historical Data,FB Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.98,,19.02
2024-12-31,51.51,$2.47,20.85
2024-09-30,46.77,$2.29,20.42
2024-06-30,38.74,$2.48,15.62
2024-03-31,37.22,$2.38,15.64
2023-12-31,39.2,$2.57,15.25
2023-09-30,27.77,$2.75,10.1
2023-06-30,27.35,$3.02,9.06
2023-03-31,30.12,$2.68,11.24
2022-12-31,34.89,$2.64,13.22
2022-09-30,36.77,$2.85,12.9
2022-06-30,37.63,$3.11,12.1
2022-03-31,42.48,$3.60,11.8
2021-12-31,41.78,$3.96,10.55
2021-09-30,40.79,$3.89,10.49
2021-06-30,35.41,$2.81,12.6
2021-03-31,42.07,$2.61,16.12
2020-12-31,32.77,$1.53,21.42
2020-09-30,23.63,$1.26,18.75
2020-06-30,23.22,$2.16,10.75
2020-03-31,18.41,$2.05,8.98
2019-12-31,36.88,$2.65,13.92
2019-09-30,34.9,$2.51,13.91
2019-06-30,33.95,$2.43,13.97
2019-03-31,29.4,$2.54,11.57
2018-12-31,32.33,$2.55,12.68
2018-09-30,36.1,$2.75,13.13
2018-06-30,37.46,$2.34,16.01
2018-03-31,37.29,$2.07,18.01
2017-12-31,38.57,$1.84,20.96
2017-09-30,34.65,$1.47,23.57
2017-06-30,33.25,$1.27,26.18
