Matador Resources PE Ratio Historical Data,Matador Resources PE Ratio Historical Data,Matador Resources PE Ratio Historical Data,Matador Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.31,,7.33
2024-12-31,56.26,$7.14,7.88
2024-09-30,49.21,$7.55,6.52
2024-06-30,59.14,$7.76,7.62
2024-03-31,66.04,$7.30,9.05
2023-12-31,56.05,$7.05,7.95
2023-09-30,58.42,$7.04,8.3
2023-06-30,51.26,$7.66,6.69
2023-03-31,46.52,$9.76,4.77
2022-12-31,55.73,$10.13,5.5
2022-09-30,47.56,$9.82,4.84
2022-06-30,45.22,$8.71,5.19
2022-03-31,51.37,$6.13,8.38
2021-12-31,35.76,$4.91,7.28
2021-09-30,36.8,$2.34,15.73
2021-06-30,34.81,$-1.75,0.0
2021-03-31,22.65,$-5.68,0.0
2020-12-31,11.63,$-5.11,0.0
2020-09-30,7.97,$-4.13,0.0
2020-06-30,8.2,$-1.37,0.0
2020-03-31,2.39,$1.98,1.21
2019-12-31,17.34,$0.75,23.12
2019-09-30,15.95,$1.71,9.33
2019-06-30,19.18,$1.48,12.96
2019-03-31,18.65,$1.70,10.97
2018-12-31,14.98,$2.40,6.24
2018-09-30,31.88,$1.58,20.18
2018-06-30,28.99,$1.58,18.35
2018-03-31,28.86,$1.33,21.7
2017-12-31,30.03,$1.22,24.62
2017-09-30,26.19,$1.96,13.36
2017-06-30,20.62,$1.94,10.63
2017-03-31,22.95,$0.51,45.0
2016-12-31,24.85,$-1.19,0.0
2016-09-30,23.48,$-5.04,0.0
2016-06-30,19.1,$-8.03,0.0
2016-03-31,18.29,$-8.77,0.0
2015-12-31,19.07,$-8.19,0.0
2015-09-30,20.01,$-4.79,0.0
2015-06-30,24.12,$-1.53,0.0
2015-03-31,21.15,$0.62,34.11
2014-12-31,19.52,$1.55,12.59
2014-09-30,24.94,$1.14,21.88
2014-06-30,28.25,$1.09,25.92
2014-03-31,23.63,$1.28,18.46
2013-12-31,17.98,$0.75,23.98
2013-09-30,15.75,$0.14,112.53
2013-06-30,11.56,$-0.38,0.0
2013-03-31,8.55,$-0.95,0.0
2012-12-31,7.91,$-0.59,0.0
