Fulcrum Therapeutics PE Ratio Historical Data,Fulcrum Therapeutics PE Ratio Historical Data,Fulcrum Therapeutics PE Ratio Historical Data,Fulcrum Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.02,,0.0
2024-12-31,4.7,$-0.22,0.0
2024-09-30,3.57,$-0.31,0.0
2024-06-30,6.2,$-0.35,0.0
2024-03-31,9.44,$-1.60,0.0
2023-12-31,6.75,$-1.58,0.0
2023-09-30,4.44,$-1.68,0.0
2023-06-30,3.3,$-1.80,0.0
2023-03-31,2.85,$-2.25,0.0
2022-12-31,7.28,$-2.48,0.0
2022-09-30,8.09,$-2.56,0.0
2022-06-30,4.9,$-2.62,0.0
2022-03-31,23.65,$-2.39,0.0
2021-12-31,17.69,$-2.29,0.0
2021-09-30,28.21,$-2.35,0.0
2021-06-30,10.48,$-2.48,0.0
2021-03-31,11.78,$-2.54,0.0
2020-12-31,11.71,$-2.81,0.0
2020-09-30,7.93,$-2.88,0.0
2020-06-30,18.29,$-3.15,0.0
