Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data,Kroger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,64.72,,17.63
2025-01-31,61.64,$3.67,16.8
2024-10-31,55.46,$3.78,14.67
2024-07-31,53.88,$3.82,14.1
2024-04-30,54.46,$2.93,18.59
2024-01-31,45.09,$2.96,15.23
2023-10-31,44.05,$2.57,17.14
2023-07-31,46.94,$2.24,20.96
2023-04-30,46.68,$3.49,13.38
2023-01-31,42.59,$3.07,13.87
2022-10-31,44.88,$3.20,14.02
2022-07-31,43.83,$3.29,13.32
2022-04-30,50.73,$2.90,17.49
2022-01-31,40.79,$2.18,18.71
2021-10-31,37.27,$1.33,28.02
2021-07-31,37.72,$1.49,25.31
2021-04-30,33.7,$1.91,17.64
2021-01-31,31.64,$3.25,9.74
2020-10-31,29.38,$3.75,7.83
2020-07-31,31.57,$3.27,9.65
2020-04-30,28.54,$2.61,10.94
2020-01-31,24.12,$2.04,11.82
2019-10-31,21.99,$1.96,11.22
2019-07-31,18.89,$2.03,9.3
2019-04-30,22.89,$2.28,10.04
2019-01-31,25.03,$3.70,6.76
2018-10-31,26.17,$4.34,6.03
2018-07-31,24.99,$4.39,5.69
2018-04-30,21.6,$4.16,5.19
2018-01-31,25.92,$2.11,12.28
2017-10-31,17.57,$1.68,10.46
2017-07-31,20.71,$1.65,12.55
2017-04-30,24.94,$1.66,15.02
2017-01-31,28.46,$2.04,13.95
2016-10-31,25.87,$2.08,12.44
2016-07-31,28.44,$2.10,13.54
2016-04-30,29.35,$2.14,13.72
2016-01-31,32.1,$2.07,15.54
2015-10-31,31.18,$2.02,15.47
2015-07-31,32.27,$1.95,16.55
2015-04-30,28.26,$1.86,15.2
2015-01-31,28.25,$1.73,16.38
2014-10-31,22.72,$1.61,14.11
2014-07-31,19.91,$1.53,13.01
2014-04-30,18.65,$1.48,12.6
2014-01-31,14.56,$1.45,10.04
2013-10-31,17.21,$1.49,11.59
2013-07-31,15.71,$1.50,10.48
2013-04-30,13.7,$1.46,9.41
2013-01-31,10.98,$1.39,7.93
2012-10-31,9.93,$0.68,14.72
2012-07-31,8.69,$0.54,16.09
2012-04-30,9.07,$0.52,17.62
2012-01-31,9.22,$0.48,19.41
2011-10-31,8.95,$0.97,9.27
2011-07-31,9.56,$0.96,9.96
2011-04-30,9.3,$0.94,9.95
2011-01-31,8.15,$0.88,9.32
2010-10-31,8.34,$0.85,9.81
2010-07-31,8.0,$0.01,533.11
2010-04-30,8.36,$0.00,0.0
2010-01-31,8.02,$0.05,178.23
2009-10-31,8.62,$0.12,74.97
