REGENXBIO PE Ratio Historical Data,REGENXBIO PE Ratio Historical Data,REGENXBIO PE Ratio Historical Data,REGENXBIO PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.36,,0.0
2024-12-31,7.73,$-3.60,0.0
2024-09-30,10.49,$-5.03,0.0
2024-06-30,11.7,$-5.27,0.0
2024-03-31,21.07,$-5.88,0.0
2023-12-31,17.95,$-6.03,0.0
2023-09-30,16.46,$-5.98,0.0
2023-06-30,19.99,$-6.32,0.0
2023-03-31,18.91,$-6.24,0.0
2022-12-31,22.68,$-6.50,0.0
2022-09-30,26.43,$1.55,17.05
2022-06-30,24.7,$1.93,12.8
2022-03-31,33.19,$2.15,15.44
2021-12-31,32.7,$2.74,11.93
2021-09-30,41.92,$-5.17,0.0
2021-06-30,38.85,$-3.57,0.0
2021-03-31,34.11,$-3.12,0.0
2020-12-31,45.36,$-3.00,0.0
2020-09-30,27.52,$-2.48,0.0
2020-06-30,36.83,$-3.65,0.0
2020-03-31,32.38,$-2.78,0.0
2019-12-31,40.97,$-2.59,0.0
2019-09-30,35.6,$-1.76,0.0
2019-06-30,51.37,$-1.38,0.0
2019-03-31,57.31,$-1.04,0.0
2018-12-31,41.95,$2.89,14.52
2018-09-30,75.5,$2.27,33.26
2018-06-30,71.75,$2.16,33.22
2018-03-31,29.85,$1.39,21.47
2017-12-31,33.25,$-2.47,0.0
2017-09-30,32.95,$-2.70,0.0
2017-06-30,19.75,$-2.72,0.0
2017-03-31,19.3,$-2.80,0.0
2016-12-31,18.55,$-2.39,0.0
2016-09-30,14.01,$-1.85,0.0
2016-06-30,8.0,$-2.68,0.0
