Team PE Ratio Historical Data,Team PE Ratio Historical Data,Team PE Ratio Historical Data,Team PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.61,,0.0
2024-12-31,12.68,$-7.04,0.0
2024-09-30,15.25,$-12.29,0.0
2024-06-30,8.88,$-12.55,0.0
2024-03-31,7.21,$-15.53,0.0
2023-12-31,6.6,$-17.33,0.0
2023-09-30,6.95,$21.85,0.32
2023-06-30,8.3,$19.33,0.43
2023-03-31,5.48,$17.94,0.31
2022-12-31,5.25,$15.03,0.35
2022-09-30,10.6,$-32.70,0.0
2022-06-30,7.43,$-56.80,0.0
2022-03-31,22.1,$-57.50,0.0
2021-12-31,10.9,$-60.00,0.0
2021-09-30,30.1,$-51.00,0.0
2021-06-30,67.0,$-24.60,0.0
2021-03-31,115.3,$-23.30,0.0
2020-12-31,109.0,$-77.60,0.0
2020-09-30,55.0,$-75.20,0.0
2020-06-30,55.7,$-74.50,0.0
2020-03-31,65.0,$-68.10,0.0
2019-12-31,159.7,$-10.70,0.0
2019-09-30,180.5,$-5.60,0.0
2019-06-30,153.2,$-10.90,0.0
2019-03-31,175.0,$-23.70,0.0
2018-12-31,146.5,$-21.70,0.0
2018-09-30,225.0,$-24.40,0.0
2018-06-30,231.0,$-44.80,0.0
2018-03-31,137.5,$-37.70,0.0
2017-12-31,149.0,$-34.90,0.0
2017-09-30,133.5,$-38.10,0.0
2017-06-30,234.5,$-11.50,0.0
2017-03-31,270.5,$-5.30,0.0
2016-12-31,392.5,$-4.80,0.0
2016-09-30,327.1,$-1.60,0.0
2016-06-30,248.3,$-0.20,0.0
2016-03-31,303.8,$-2.00,0.0
2015-12-31,319.6,$0.70,456.57
2015-11-30,381.8,$7.90,48.33
2015-09-30,321.2,$7.90,40.66
2015-08-31,418.4,$7.30,57.32
2015-06-30,402.5,$7.30,55.14
2015-05-31,398.0,$0.10,3980.0
2015-03-31,389.8,$0.10,3898.0
2015-02-28,384.0,0,0.0
2014-11-30,406.1,0,0.0
2014-08-31,399.1,0,0.0
2014-05-31,419.2,0,0.0
2014-02-28,432.4,0,0.0
2013-11-30,409.2,0,0.0
2013-08-31,390.0,0,0.0
2013-05-31,360.7,0,0.0
2013-02-28,438.6,0,0.0
2012-11-30,359.2,0,0.0
2012-08-31,312.7,0,0.0
2012-05-31,266.8,0,0.0
2012-02-29,306.0,0,0.0
2011-11-30,273.6,0,0.0
2011-08-31,249.4,0,0.0
2011-05-31,230.0,0,0.0
2011-02-28,259.3,0,0.0
2010-11-30,203.6,0,0.0
2010-08-31,146.3,0,0.0
2010-05-31,150.4,0,0.0
2010-02-28,181.3,0,0.0
2009-11-30,164.0,0,0.0
