Fvcbankcorp PE Ratio Historical Data,Fvcbankcorp PE Ratio Historical Data,Fvcbankcorp PE Ratio Historical Data,Fvcbankcorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.44,,38.67
2024-09-30,13.05,$0.27,48.33
2024-06-30,10.92,$0.24,45.5
2024-03-31,12.18,$0.24,50.75
2023-12-31,14.2,$0.20,71.0
2023-09-30,12.81,$0.70,18.41
2023-06-30,10.77,$0.86,12.52
2023-03-31,10.65,$0.97,10.93
2022-12-31,15.26,$1.30,11.7
2022-09-30,15.34,$1.44,10.65
2022-06-30,15.06,$1.31,11.48
2022-03-31,16.6,$1.26,13.22
2021-12-31,15.74,$1.20,13.12
2021-09-30,16.0,$1.14,14.08
2021-06-30,13.81,$1.10,12.51
2021-03-31,13.86,$0.98,14.08
2020-12-31,11.76,$0.89,13.24
2020-09-30,8.0,$0.80,10.0
2020-06-30,8.61,$0.80,10.76
2020-03-31,10.66,$0.86,12.45
2019-12-31,13.98,$0.86,16.18
2019-09-30,14.05,$0.74,18.88
2019-06-30,15.54,$0.74,21.11
