AbCellera Biologics PE Ratio Historical Data,AbCellera Biologics PE Ratio Historical Data,AbCellera Biologics PE Ratio Historical Data,AbCellera Biologics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.38,,0.0
2024-12-31,2.93,$-0.55,0.0
2024-09-30,2.6,$-0.61,0.0
2024-06-30,2.96,$-0.54,0.0
2024-03-31,4.53,$-0.52,0.0
2023-12-31,5.71,$-0.52,0.0
2023-09-30,4.6,$-0.45,0.0
2023-06-30,6.46,$-0.27,0.0
2023-03-31,7.54,$-0.18,0.0
2022-12-31,10.13,$0.50,20.26
2022-09-30,9.89,$0.79,12.52
2022-06-30,10.65,$0.63,16.9
2022-03-31,9.75,$0.64,15.23
2021-12-31,14.3,$0.47,30.43
2021-09-30,20.04,$0.28,71.57
