EMX Royalty PE Ratio Historical Data,EMX Royalty PE Ratio Historical Data,EMX Royalty PE Ratio Historical Data,EMX Royalty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.96,,0.0
2024-12-31,1.73,$-0.02,0.0
2024-09-30,1.78,$-0.04,0.0
2024-06-30,1.8,$-0.03,0.0
2024-03-31,1.72,$-0.03,0.0
2023-12-31,1.62,$-0.04,0.0
2023-09-30,1.78,$-0.04,0.0
2023-06-30,1.9,$-0.17,0.0
2023-03-31,1.99,$-0.16,0.0
2022-12-31,1.89,$0.04,47.25
2022-09-30,1.86,$-0.06,0.0
2022-06-30,1.85,$-0.05,0.0
2022-03-31,2.17,$-0.05,0.0
2021-12-31,2.27,$-0.26,0.0
2021-09-30,2.56,$-0.17,0.0
2021-06-30,2.98,$-0.08,0.0
2021-03-31,2.96,$-0.08,0.0
2020-12-31,3.35,$-0.03,0.0
2020-09-30,2.63,$-0.05,0.0
2020-06-30,2.16,$-0.06,0.0
2020-03-31,1.36,$-0.09,0.0
2019-12-31,1.64,$-0.13,0.0
2019-09-30,1.36,$0.58,2.35
2019-06-30,1.22,$0.55,2.22
2019-03-31,1.17,$0.57,2.05
2018-12-31,1.13,$0.58,1.95
2018-09-30,1.22,$-0.12,0.0
2018-06-30,1.02,$-0.10,0.0
2018-03-31,0.88,$-0.08,0.0
2017-12-31,0.83,$-0.08,0.0
2017-09-30,0.84,$-0.02,0.0
2017-06-30,0.93,$-0.02,0.0
2017-03-31,0.94,$0.01,94.0
2016-09-30,1.07,$0.01,107.0
2016-03-31,0.64,$-0.07,0.0
2015-12-31,0.43,$-0.07,0.0
2015-09-30,0.46,$-0.20,0.0
2015-06-30,0.51,$-0.20,0.0
2015-03-31,0.73,$-0.21,0.0
2014-12-31,0.76,$-0.21,0.0
2014-09-30,0.71,$-0.11,0.0
2014-06-30,0.81,$-0.18,0.0
2014-03-31,1.04,$-0.17,0.0
2013-12-31,1.02,$-0.18,0.0
2013-09-30,1.24,$-0.25,0.0
2013-06-30,1.21,$-0.28,0.0
2013-03-31,2.06,$-0.33,0.0
2012-12-31,2.06,$-0.37,0.0
2012-09-30,2.23,$-0.34,0.0
2012-06-30,1.96,$-0.30,0.0
2012-03-31,2.36,$-0.26,0.0
2011-12-31,2.11,$-0.26,0.0
