Meritage Homes PE Ratio Historical Data,Meritage Homes PE Ratio Historical Data,Meritage Homes PE Ratio Historical Data,Meritage Homes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,71.47,,5.47
2024-12-31,153.82,$13.08,11.76
2024-09-30,205.07,$11.05,18.57
2024-06-30,161.25,$11.37,14.19
2024-03-31,174.01,$10.72,16.23
2023-12-31,171.92,$9.96,17.26
2023-09-30,120.61,$10.82,11.15
2023-06-30,139.91,$11.38,12.3
2023-03-31,114.59,$12.25,9.35
2022-12-31,90.25,$13.38,6.75
2022-09-30,68.79,$12.96,5.31
2022-06-30,70.97,$12.03,5.9
2022-03-31,77.56,$10.83,7.16
2021-12-31,119.48,$9.65,12.38
2021-09-30,94.95,$8.51,11.16
2021-06-30,92.1,$7.31,12.61
2021-03-31,89.98,$6.32,14.25
2020-12-31,81.07,$5.51,14.71
2020-09-30,108.06,$4.85,22.28
2020-06-30,74.51,$4.33,17.23
2020-03-31,35.74,$3.79,9.43
2019-12-31,59.82,$3.20,18.69
2019-09-30,68.87,$2.83,24.33
2019-06-30,50.26,$2.60,19.33
2019-03-31,43.77,$2.60,16.83
2018-12-31,35.95,$2.81,12.79
2018-09-30,39.06,$2.29,17.06
2018-06-30,43.02,$2.14,20.15
2018-03-31,44.3,$1.97,22.48
2017-12-31,50.12,$1.72,29.22
2017-09-30,43.46,$1.89,23.0
2017-06-30,41.31,$1.82,22.7
2017-03-31,36.02,$1.81,19.96
2016-12-31,34.07,$1.78,19.19
2016-09-30,33.97,$1.80,18.92
2016-06-30,36.75,$1.72,21.37
2016-03-31,35.69,$1.60,22.38
2015-12-31,33.27,$1.55,21.54
2015-09-30,35.75,$1.51,23.68
2015-06-30,46.1,$1.54,29.93
2015-03-31,47.61,$1.62,29.48
2014-12-31,35.23,$1.73,20.42
2014-09-30,34.75,$1.73,20.15
2014-06-30,41.32,$1.83,22.64
2014-03-31,41.0,$1.77,23.16
2013-12-31,46.98,$1.62,29.0
2013-09-30,42.04,$2.27,18.52
2013-06-30,42.45,$1.87,22.7
2013-03-31,45.87,$1.62,28.32
2012-12-31,36.56,$1.39,26.4
2012-09-30,37.23,$-0.04,0.0
2012-06-30,33.22,$-0.19,0.0
2012-03-31,26.49,$-0.30,0.0
2011-12-31,22.7,$-0.33,0.0
2011-09-30,14.82,$-0.16,0.0
2011-06-30,22.08,$-0.09,0.0
2011-03-31,23.62,$-0.04,0.0
2010-12-31,21.73,$0.11,197.56
2010-09-30,19.21,$0.80,24.01
2010-06-30,15.94,$0.50,31.87
2010-03-31,20.56,$-0.75,0.0
2009-12-31,18.92,$-1.09,0.0
