MacroGenics PE Ratio Historical Data,MacroGenics PE Ratio Historical Data,MacroGenics PE Ratio Historical Data,MacroGenics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.1,,0.0
2024-09-30,3.29,$-1.58,0.0
2024-06-30,4.25,$-2.20,0.0
2024-03-31,14.72,$-0.39,0.0
2023-12-31,9.62,$-0.16,0.0
2023-09-30,4.66,$0.80,5.83
2023-06-30,5.35,$0.12,44.58
2023-03-31,7.17,$-1.47,0.0
2022-12-31,6.71,$-1.94,0.0
2022-09-30,3.46,$-3.10,0.0
2022-06-30,2.95,$-3.56,0.0
2022-03-31,8.81,$-3.55,0.0
2021-12-31,16.05,$-3.37,0.0
2021-09-30,20.94,$-2.40,0.0
2021-06-30,26.86,$-2.20,0.0
2021-03-31,31.85,$-2.48,0.0
2020-12-31,22.86,$-2.49,0.0
2020-09-30,25.19,$-3.13,0.0
2020-06-30,27.92,$-3.38,0.0
2020-03-31,5.82,$-3.09,0.0
2019-12-31,10.88,$-3.17,0.0
2019-09-30,12.76,$-3.61,0.0
2019-06-30,16.97,$-3.51,0.0
2019-03-31,17.98,$-3.89,0.0
2018-12-31,12.7,$-4.24,0.0
2018-09-30,21.44,$-0.38,0.0
2018-06-30,20.65,$-0.85,0.0
2018-03-31,25.16,$-0.96,0.0
2017-12-31,19.0,$-0.70,0.0
2017-09-30,18.48,$-4.50,0.0
2017-06-30,17.51,$-4.19,0.0
2017-03-31,18.6,$-1.93,0.0
2016-12-31,20.44,$-1.73,0.0
2016-09-30,29.91,$-1.62,0.0
2016-06-30,26.99,$-1.11,0.0
2016-03-31,18.75,$-2.94,0.0
2015-12-31,30.97,$-0.64,0.0
2015-09-30,21.42,$-0.44,0.0
2015-06-30,37.97,$-0.12,0.0
2015-03-31,31.37,$0.15,209.13
2014-12-31,35.07,$-1.39,0.0
2014-09-30,20.9,$-0.84,0.0
