Retractable Technologies PE Ratio Historical Data,Retractable Technologies PE Ratio Historical Data,Retractable Technologies PE Ratio Historical Data,Retractable Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.73,,0.0
2024-09-30,0.77,$-0.54,0.0
2024-06-30,1.08,$-0.61,0.0
2024-03-31,1.2,$-0.26,0.0
2023-12-31,1.11,$-0.24,0.0
2023-09-30,1.19,$-0.37,0.0
2023-06-30,1.15,$-0.07,0.0
2023-03-31,1.75,$-0.05,0.0
2022-12-31,1.64,$0.14,11.72
2022-09-30,1.98,$0.88,2.25
2022-06-30,3.83,$0.91,4.21
2022-03-31,4.75,$1.33,3.57
2021-12-31,6.93,$1.63,4.25
2021-09-30,11.03,$1.37,8.05
2021-06-30,11.56,$1.51,7.66
2021-03-31,12.82,$1.31,9.79
2020-12-31,10.74,$0.79,13.59
2020-09-30,6.66,$0.49,13.59
2020-06-30,7.02,$0.19,36.95
2020-03-31,1.56,$0.09,17.33
2019-12-31,1.5,$0.08,18.75
2019-09-30,1.15,$0.02,57.5
2019-06-30,0.72,$-0.02,0.0
2019-03-31,0.64,$-0.06,0.0
2018-12-31,0.6,$-0.06,0.0
2018-09-30,0.72,$-0.09,0.0
2018-06-30,0.74,$-0.09,0.0
2018-03-31,1.03,$-0.11,0.0
2017-12-31,0.68,$-0.14,0.0
2017-09-30,0.67,$-0.17,0.0
2017-06-30,1.27,$-0.17,0.0
2017-03-31,1.11,$-0.15,0.0
2016-12-31,0.93,$-0.15,0.0
2016-09-30,2.56,$-0.03,0.0
2016-06-30,2.52,$-0.04,0.0
2016-03-31,2.15,$0.18,11.94
2015-12-31,3.1,$0.18,17.22
2015-09-30,3.62,$0.15,24.13
2015-06-30,3.8,$0.17,22.35
2015-03-31,3.88,$-0.08,0.0
2014-12-31,5.0,$-0.12,0.0
2014-09-30,2.9,$-0.14,0.0
2014-06-30,2.5,$-0.18,0.0
2014-03-31,3.79,$-0.22,0.0
2013-12-31,3.08,$-0.20,0.0
2013-09-30,3.11,$-0.32,0.0
2013-06-30,1.44,$-0.30,0.0
2013-03-31,1.06,$-0.23,0.0
2012-12-31,0.87,$-0.21,0.0
2012-09-30,1.15,$-0.22,0.0
2012-06-30,0.98,$-0.14,0.0
2012-03-31,1.35,$-0.09,0.0
2011-12-31,1.18,0,0.0
2011-09-30,1.35,$0.08,16.88
2011-06-30,1.54,$0.31,4.97
2011-03-31,1.65,$0.16,10.31
2010-12-31,1.75,$-0.00,0.0
2010-09-30,1.57,$0.06,26.17
2010-06-30,1.61,$-0.39,0.0
2010-03-31,1.55,$-0.39,0.0
2009-12-31,1.64,$-0.46,0.0
