Oxford Square Capital PE Ratio Historical Data,Oxford Square Capital PE Ratio Historical Data,Oxford Square Capital PE Ratio Historical Data,Oxford Square Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.59,,25.9
2024-12-31,2.44,$0.10,24.4
2024-09-30,2.76,$-0.10,0.0
2024-06-30,2.77,$0.03,92.3
2024-03-31,2.89,$0.17,16.98
2023-12-31,2.52,$0.33,7.63
2023-09-30,2.56,$0.02,127.85
2023-06-30,2.09,$-0.32,0.0
2023-03-31,2.41,$-1.42,0.0
2022-12-31,2.31,$-1.71,0.0
2022-09-30,2.15,$-1.25,0.0
2022-06-30,2.53,$-0.80,0.0
2022-03-31,2.84,$0.20,14.2
2021-12-31,2.7,$0.80,3.37
2021-09-30,2.61,$1.60,1.63
2021-06-30,3.09,$1.79,1.73
2021-03-31,2.86,$2.07,1.38
2020-12-31,1.83,$0.01,0.0
2020-09-30,1.43,$-0.89,0.0
2020-06-30,1.56,$-2.00,0.0
2020-03-31,1.32,$-2.57,0.0
2019-12-31,2.7,$-0.68,0.0
2019-09-30,2.98,$-1.26,0.0
2019-06-30,2.97,$-0.44,0.0
2019-03-31,2.92,$-0.14,0.0
2018-12-31,2.82,$-0.19,0.0
2018-09-30,3.01,$0.81,3.71
2018-06-30,2.84,$0.80,3.54
2018-03-31,2.44,$0.84,2.91
2017-12-31,2.22,$0.85,2.61
2017-09-30,2.56,$1.17,2.19
2017-06-30,2.3,$1.77,1.3
2017-03-31,2.61,$2.40,1.09
2016-12-31,2.27,$1.85,1.23
2016-09-30,1.92,$0.08,23.98
2016-06-30,1.65,$-1.14,0.0
2016-03-31,1.43,$-1.78,0.0
2015-12-31,1.71,$-1.14,0.0
2015-09-30,1.8,$-0.50,0.0
2015-06-30,1.72,$-0.02,0.0
2015-03-31,1.7,$0.02,85.08
2014-12-31,1.78,$-0.07,0.0
2014-09-30,2.02,$0.66,3.05
2014-06-30,2.19,$1.09,2.01
2014-03-31,2.1,$0.93,2.26
2013-12-31,2.16,$1.11,1.95
2013-09-30,1.98,$1.21,1.64
2013-06-30,1.9,$1.49,1.27
2013-03-31,1.9,$1.69,1.13
2012-12-31,1.88,$1.79,1.05
2012-09-30,1.88,$1.66,1.13
2012-06-30,1.7,$0.71,2.4
2012-03-31,1.66,$0.59,2.82
2011-12-31,1.44,$0.44,3.27
2011-09-30,1.32,$1.09,1.21
2011-06-30,1.51,$1.81,0.83
2011-03-31,1.67,$1.92,0.87
2010-12-31,1.68,$1.73,0.97
2010-09-30,1.52,$1.01,1.5
2010-06-30,1.2,$1.11,1.08
2010-03-31,0.92,$0.99,0.93
2009-12-31,0.83,$0.95,0.87
