SOPHiA GENETICS SA PE Ratio Historical Data,SOPHiA GENETICS SA PE Ratio Historical Data,SOPHiA GENETICS SA PE Ratio Historical Data,SOPHiA GENETICS SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,0.0
2024-12-31,3.07,$-0.95,0.0
2024-09-30,3.65,$-1.09,0.0
2024-06-30,4.58,$-1.02,0.0
2024-03-31,4.93,$-1.12,0.0
2023-12-31,4.71,$-1.22,0.0
2023-09-30,2.55,$-1.07,0.0
2023-06-30,4.48,$-1.22,0.0
2023-03-31,4.97,$-1.28,0.0
2022-12-31,2.06,$-1.37,0.0
2022-09-30,2.63,$-1.48,0.0
2022-06-30,3.62,$-1.47,0.0
