OP Bancorp PE Ratio Historical Data,OP Bancorp PE Ratio Historical Data,OP Bancorp PE Ratio Historical Data,OP Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.47,,8.91
2024-09-30,12.38,$1.40,8.85
2024-06-30,9.42,$1.37,6.88
2024-03-31,9.69,$1.40,6.92
2023-12-31,10.5,$1.54,6.82
2023-09-30,8.65,$1.71,5.06
2023-06-30,7.88,$1.93,4.08
2023-03-31,8.2,$2.08,3.94
2022-12-31,10.17,$2.13,4.77
2022-09-30,10.03,$2.21,4.54
2022-06-30,9.36,$2.20,4.26
2022-03-31,12.26,$2.08,5.89
2021-12-31,11.22,$1.88,5.97
2021-09-30,8.98,$1.54,5.83
2021-06-30,8.71,$1.23,7.08
2021-03-31,9.05,$0.97,9.33
2020-12-31,6.58,$0.85,7.74
2020-09-30,4.83,$0.86,5.62
2020-06-30,5.77,$0.88,6.56
2020-03-31,6.17,$0.95,6.5
2019-12-31,8.52,$1.03,8.27
2019-09-30,7.99,$1.00,7.99
2019-06-30,8.81,$0.96,9.18
2019-03-31,7.08,$0.96,7.37
2018-12-31,7.14,$0.89,8.02
