Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,586.0,,24.5
2024-12-31,585.51,$23.92,24.48
2024-09-30,571.98,$21.23,26.94
2024-06-30,503.34,$19.59,25.69
2024-03-31,484.26,$17.41,27.81
2023-12-31,352.62,$14.90,23.67
2023-09-30,299.07,$11.33,26.4
2023-06-30,285.89,$8.58,33.32
2023-03-31,211.14,$8.06,26.2
2022-12-31,119.88,$8.58,13.97
2022-09-30,135.17,$10.49,12.89
2022-06-30,160.64,$12.07,13.31
2022-03-31,221.52,$13.22,16.76
2021-12-31,335.08,$13.80,24.28
2021-09-30,338.1,$14.01,24.13
2021-06-30,346.39,$13.50,25.66
2021-03-31,293.41,$11.69,25.1
2020-12-31,272.12,$10.10,26.94
2020-09-30,260.91,$8.78,29.72
2020-06-30,226.21,$8.19,27.62
2020-03-31,166.17,$7.30,22.76
2019-12-31,204.47,$6.44,31.75
2019-09-30,177.41,$6.26,28.34
2019-06-30,192.27,$5.90,32.59
2019-03-31,166.06,$6.73,24.67
2018-12-31,130.59,$7.57,17.25
2018-09-30,163.84,$6.63,24.71
2018-06-30,193.58,$6.46,29.97
2018-03-31,159.18,$6.04,26.36
2017-12-31,175.79,$5.39,32.61
2017-09-30,170.22,$5.16,32.99
2017-06-30,150.41,$4.39,34.26
2017-03-31,141.51,$3.78,37.44
2016-12-31,114.61,$3.26,35.16
2016-09-30,127.78,$2.59,49.34
2016-06-30,113.85,$2.08,54.73
2016-03-31,113.67,$1.62,70.17
2015-12-31,104.26,$1.28,81.46
2015-09-30,89.39,$0.99,90.29
2015-06-30,85.44,$0.98,87.18
2015-03-31,81.9,$1.03,79.52
2014-12-31,77.72,$1.10,70.66
2014-09-30,78.74,$1.05,74.99
2014-06-30,67.04,$0.92,72.86
2014-03-31,60.01,$0.75,80.02
2013-12-31,54.44,$0.59,92.27
2013-09-30,50.04,$0.42,119.14
2013-06-30,24.79,$0.23,107.76
2013-03-31,25.48,$0.02,1274.16
