Lovesac PE Ratio Historical Data,Lovesac PE Ratio Historical Data,Lovesac PE Ratio Historical Data,Lovesac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.53,,51.56
2024-10-31,29.16,$0.34,85.76
2024-07-31,27.36,$0.51,53.65
2024-04-30,22.18,$0.85,26.09
2024-01-31,23.16,$1.40,16.54
2023-10-31,16.46,$1.27,12.96
2023-07-31,29.28,$0.87,33.66
2023-04-30,26.29,$1.36,19.33
2023-01-31,25.74,$1.76,14.63
2022-10-31,24.34,$2.05,11.87
2022-07-31,31.16,$2.77,11.25
2022-04-30,43.84,$2.84,15.44
2022-01-31,53.85,$2.85,18.89
2021-10-31,78.01,$2.19,35.62
2021-07-31,60.7,$2.18,27.84
2021-04-30,73.27,$1.58,46.37
2021-01-31,56.54,$0.87,64.99
2020-10-31,25.74,$-0.13,0.0
2020-07-31,31.78,$-0.75,0.0
2020-04-30,11.93,$-1.00,0.0
2020-01-31,11.35,$-1.09,0.0
2019-10-31,16.33,$-0.84,0.0
2019-07-31,21.44,$-0.60,0.0
2019-04-30,39.4,$-3.98,0.0
