CoreCard PE Ratio Historical Data,CoreCard PE Ratio Historical Data,CoreCard PE Ratio Historical Data,CoreCard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.77,,31.0
2024-12-31,22.7,$0.67,33.88
2024-09-30,14.52,$0.49,29.63
2024-06-30,14.59,$0.19,76.79
2024-03-31,11.05,$0.30,36.83
2023-12-31,13.83,$0.40,34.58
2023-09-30,20.0,$0.46,43.48
2023-06-30,25.36,$0.65,39.02
2023-03-31,30.13,$0.76,39.64
2022-12-31,28.97,$1.61,17.99
2022-09-30,21.77,$1.79,12.16
2022-06-30,24.41,$1.92,12.71
2022-03-31,27.4,$1.91,14.35
2021-12-31,38.8,$1.03,37.67
2021-09-30,40.61,$0.97,41.87
2021-06-30,31.46,$0.99,31.78
2021-03-31,40.91,$0.91,44.96
2020-12-31,40.11,$0.91,44.08
2020-09-30,38.98,$1.08,36.09
2020-06-30,34.08,$1.11,30.7
2020-03-31,33.99,$1.10,30.9
2019-12-31,39.94,$1.21,33.01
2019-09-30,41.54,$1.07,38.82
2019-06-30,28.79,$0.94,30.63
2019-03-31,31.94,$0.83,38.48
2018-12-31,12.92,$0.70,18.46
2018-09-30,10.57,$0.36,29.36
2018-06-30,8.67,$0.31,27.97
2018-03-31,5.11,$0.21,24.33
2017-12-31,4.56,$0.06,76.0
2017-09-30,3.82,$0.12,31.84
2017-06-30,3.5,$-0.03,0.0
2017-03-31,4.5,$-0.07,0.0
2016-12-31,4.24,$-0.13,0.0
2016-09-30,3.66,$-0.01,0.0
2016-06-30,3.72,$-0.07,0.0
2016-03-31,3.44,$-0.14,0.0
2015-12-31,2.89,$2.00,1.45
2015-09-30,2.6,$1.91,1.36
2015-06-30,2.66,$1.98,1.34
2015-03-31,2.58,$2.08,1.24
2014-12-31,1.44,$-0.02,0.0
2014-09-30,1.23,$-0.05,0.0
2014-06-30,1.23,$-0.00,0.0
2014-03-31,1.5,$0.04,37.61
2013-12-31,1.45,$0.13,11.16
2013-09-30,1.35,$0.18,7.51
2013-06-30,1.13,$0.14,8.04
2013-03-31,1.39,$0.06,23.22
2012-12-31,1.23,$0.01,122.6
2012-09-30,1.33,$-0.07,0.0
2012-06-30,1.35,$-0.02,0.0
2012-03-31,1.3,$0.08,16.23
2011-12-31,1.43,$0.07,20.47
2011-09-30,1.34,$0.04,33.58
2011-06-30,1.21,$-0.03,0.0
2011-03-31,1.57,$-0.07,0.0
2010-12-31,1.16,$-0.02,0.0
2010-09-30,0.9,$0.05,17.91
2010-06-30,1.12,$-0.03,0.0
2010-03-31,1.07,$-0.10,0.0
2009-12-31,0.84,$-0.26,0.0
