Visa PE Ratio Historical Data,Visa PE Ratio Historical Data,Visa PE Ratio Historical Data,Visa PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,339.5,,34.22
2024-12-31,316.04,$9.92,31.86
2024-09-30,274.43,$9.73,28.2
2024-06-30,261.45,$9.35,27.96
2024-03-31,277.48,$8.95,31.0
2023-12-31,258.37,$8.69,29.73
2023-09-30,227.77,$8.29,27.48
2023-06-30,234.73,$7.88,29.79
2023-03-31,222.42,$7.48,29.73
2022-12-31,204.55,$7.15,28.61
2022-09-30,174.5,$6.99,24.96
2022-06-30,193.06,$6.78,28.47
2022-03-31,217.04,$6.36,34.13
2021-12-31,211.73,$6.04,35.06
2021-09-30,217.26,$5.63,38.59
2021-06-30,227.74,$4.95,46.01
2021-03-31,205.93,$4.84,42.55
2020-12-31,212.41,$4.84,43.89
2020-09-30,193.9,$4.88,39.73
2020-06-30,187.02,$5.25,35.62
2020-03-31,155.73,$5.55,28.06
2019-12-31,181.35,$5.48,33.09
2019-09-30,165.74,$5.32,31.15
2019-06-30,167.22,$5.21,32.1
2019-03-31,150.26,$4.84,31.05
2018-12-31,126.71,$4.64,27.31
2018-09-30,143.89,$4.41,32.63
2018-06-30,126.79,$4.08,31.08
2018-03-31,114.32,$3.94,29.02
2017-12-31,108.78,$3.01,36.14
2017-09-30,100.23,$2.80,35.8
2017-06-30,89.17,$2.69,33.15
2017-03-31,84.35,$2.00,42.18
2016-12-31,73.92,$2.53,29.22
2016-09-30,78.19,$2.47,31.66
2016-06-30,70.0,$2.30,30.44
2016-03-31,72.05,$2.82,25.55
2015-12-31,72.92,$2.74,26.61
2015-09-30,65.39,$2.57,25.42
2015-06-30,62.93,$2.38,26.41
2015-03-31,61.19,$2.24,27.38
2014-12-31,61.21,$2.24,27.39
2014-09-30,49.72,$2.15,23.1
2014-06-30,49.0,$2.19,22.43
2014-03-31,50.11,$2.11,23.72
2013-12-31,51.6,$1.96,26.29
2013-09-30,44.19,$1.90,23.32
2013-06-30,42.18,$2.05,20.58
2013-03-31,39.13,$0.90,43.72
2012-12-31,34.85,$0.89,39.05
2012-09-30,30.8,$0.78,39.36
2012-06-30,28.31,$0.48,58.67
2012-03-31,26.97,$1.53,17.68
2011-12-31,23.16,$1.36,17.09
2011-09-30,19.51,$1.29,15.12
2011-06-30,19.14,$1.24,15.47
2011-03-31,16.69,$1.12,14.87
2010-12-31,15.93,$1.06,15.1
2010-09-30,16.77,$1.00,16.73
2010-06-30,15.95,$0.91,17.53
2010-03-31,20.49,$0.91,22.52
2009-12-31,19.66,$0.85,23.2
