Metallus PE Ratio Historical Data,Metallus PE Ratio Historical Data,Metallus PE Ratio Historical Data,Metallus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.87,,0.0
2024-12-31,14.13,$-0.01,0.0
2024-09-30,14.83,$0.52,28.52
2024-06-30,20.27,$1.16,17.47
2024-03-31,22.25,$1.68,13.24
2023-12-31,23.45,$1.46,16.06
2023-09-30,21.72,$0.68,31.94
2023-06-30,21.57,$-0.12,0.0
2023-03-31,18.34,$0.68,26.97
2022-12-31,18.17,$1.08,16.82
2022-09-30,14.99,$2.90,5.17
2022-06-30,18.71,$4.13,4.53
2022-03-31,21.88,$3.69,5.93
2021-12-31,16.5,$3.19,5.17
2021-09-30,13.08,$1.84,7.11
2021-06-30,14.15,$0.59,23.98
2021-03-31,11.75,$-0.73,0.0
2020-12-31,4.67,$-1.37,0.0
2020-09-30,3.55,$-2.98,0.0
2020-06-30,3.89,$-2.77,0.0
2020-03-31,3.23,$-2.53,0.0
2019-12-31,7.86,$-2.00,0.0
2019-09-30,6.29,$-1.00,0.0
2019-06-30,8.13,$-0.87,0.0
2019-03-31,10.86,$-0.58,0.0
2018-12-31,8.74,$-0.71,0.0
2018-09-30,14.87,$-0.59,0.0
2018-06-30,16.35,$-0.75,0.0
2018-03-31,15.19,$-0.91,0.0
2017-12-31,15.19,$-0.99,0.0
2017-09-30,16.5,$-1.74,0.0
2017-06-30,15.37,$-1.99,0.0
2017-03-31,18.91,$-2.26,0.0
2016-12-31,15.48,$-2.45,0.0
2016-09-30,10.45,$-1.51,0.0
2016-06-30,9.62,$-1.82,0.0
2016-03-31,9.1,$-2.12,0.0
2015-12-31,8.38,$-1.66,0.0
2015-09-30,10.12,$-0.71,0.0
2015-06-30,26.74,$0.54,49.52
2015-03-31,26.11,$1.70,15.36
