USANA Health Sciences PE Ratio Historical Data,USANA Health Sciences PE Ratio Historical Data,USANA Health Sciences PE Ratio Historical Data,USANA Health Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.31,,12.47
2024-12-31,35.89,$2.19,16.39
2024-09-30,37.92,$2.83,13.4
2024-06-30,45.24,$2.86,15.82
2024-03-31,48.5,$3.21,15.11
2023-12-31,53.6,$3.30,16.24
2023-09-30,58.61,$3.09,18.97
2023-06-30,63.04,$3.28,19.22
2023-03-31,62.9,$3.39,18.55
2022-12-31,53.2,$3.59,14.82
2022-09-30,56.05,$3.96,14.15
2022-06-30,72.36,$4.54,15.94
2022-03-31,79.45,$5.41,14.69
2021-12-31,101.2,$5.71,17.72
2021-09-30,92.2,$6.55,14.08
2021-06-30,102.43,$6.63,15.45
2021-03-31,97.6,$6.08,16.05
2020-12-31,77.1,$5.86,13.16
2020-09-30,73.65,$5.40,13.64
2020-06-30,73.43,$5.05,14.54
2020-03-31,57.76,$4.64,12.45
2019-12-31,78.55,$4.42,17.77
2019-09-30,68.39,$4.33,15.79
2019-06-30,79.43,$4.48,17.73
2019-03-31,83.87,$4.93,17.01
2018-12-31,117.73,$5.11,23.04
2018-09-30,120.55,$3.55,33.96
2018-06-30,115.3,$3.28,35.15
2018-03-31,85.9,$2.85,30.14
2017-12-31,74.05,$2.52,29.38
2017-09-30,57.7,$3.63,15.9
2017-06-30,64.1,$3.86,16.61
2017-03-31,57.6,$3.97,14.53
2016-12-31,61.2,$3.86,15.88
2016-09-30,69.18,$3.90,17.74
2016-06-30,55.72,$3.66,15.22
2016-03-31,60.71,$3.59,16.93
2015-12-31,63.88,$3.59,17.82
2015-09-30,67.02,$3.50,19.17
2015-06-30,68.33,$3.27,20.9
2015-03-31,55.56,$2.99,18.58
2014-12-31,51.3,$2.82,18.22
2014-09-30,36.83,$2.70,13.67
2014-06-30,39.07,$2.54,15.38
2014-03-31,37.67,$2.72,13.85
2013-12-31,37.79,$2.79,13.57
2013-09-30,43.4,$2.72,15.98
2013-06-30,36.19,$2.73,13.28
2013-03-31,24.17,$2.42,9.99
2012-12-31,16.47,$2.23,7.38
2012-09-30,23.24,$2.03,11.45
2012-06-30,20.56,$1.85,11.14
2012-03-31,18.67,$1.73,10.79
2011-12-31,15.19,$1.63,9.32
2011-09-30,13.75,$1.57,8.76
2011-06-30,15.64,$1.56,10.03
2011-03-31,17.26,$1.47,11.78
2010-12-31,21.73,$1.43,15.25
2010-09-30,20.18,$1.38,14.62
2010-06-30,18.27,$1.24,14.73
2010-03-31,15.71,$1.18,13.31
2009-12-31,15.95,$1.09,14.7
