Brookfield Business Partners PE Ratio Historical Data,Brookfield Business Partners PE Ratio Historical Data,Brookfield Business Partners PE Ratio Historical Data,Brookfield Business Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.56,,2.91
2024-09-30,23.25,$8.10,2.87
2024-06-30,18.75,$6.51,2.88
2024-03-31,21.98,$6.38,3.44
2023-12-31,20.41,$6.49,3.14
2023-09-30,15.01,$-0.04,0.0
2023-06-30,16.95,$0.02,847.56
2023-03-31,18.26,$0.89,20.51
2022-12-31,16.57,$0.73,22.7
2022-09-30,18.95,$0.44,43.07
2022-06-30,20.57,$1.17,17.58
2022-03-31,29.75,$-0.11,0.0
2021-12-31,28.98,$3.28,8.84
2021-09-30,28.84,$4.09,7.05
2021-06-30,29.02,$3.38,8.59
2021-03-31,25.18,$3.28,7.68
2020-12-31,23.49,$-1.13,0.0
2020-09-30,18.82,$-2.39,0.0
2020-06-30,19.24,$-2.11,0.0
2020-03-31,15.81,$-0.56,0.0
2019-12-31,25.62,$0.76,33.72
2019-09-30,24.35,$2.50,9.74
2019-06-30,23.7,$2.34,10.13
2019-03-31,24.44,$2.12,11.53
2018-12-31,18.74,$2.21,8.48
2018-09-30,28.23,$-0.08,0.0
2018-06-30,23.56,$-0.23,0.0
2018-03-31,22.14,$-0.89,0.0
2017-12-31,21.18,$-0.85,0.0
2017-09-30,18.16,$0.40,45.39
2017-06-30,16.53,$0.77,21.47
2017-03-31,15.02,$0.80,18.78
