Berry PE Ratio Historical Data,Berry PE Ratio Historical Data,Berry PE Ratio Historical Data,Berry PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.49,,12.93
2024-12-31,4.13,$0.27,15.3
2024-09-30,5.14,$1.08,4.76
2024-06-30,6.46,$-0.43,0.0
2024-03-31,8.05,$0.01,805.0
2023-12-31,7.03,$0.46,15.28
2023-09-30,8.2,$0.55,14.91
2023-06-30,6.88,$3.49,1.97
2023-03-31,7.85,$3.68,2.13
2022-12-31,8.0,$3.05,2.62
2022-09-30,7.5,$2.26,3.32
2022-06-30,7.15,$0.04,178.73
2022-03-31,9.5,$-0.64,0.0
2021-12-31,7.7,$-0.20,0.0
2021-09-30,6.55,$-1.11,0.0
2021-06-30,6.04,$-1.47,0.0
2021-03-31,4.92,$-2.12,0.0
2020-12-31,3.27,$-3.30,0.0
2020-09-30,2.82,$-2.59,0.0
2020-06-30,4.29,$-1.70,0.0
2020-03-31,2.14,$-0.50,0.0
2019-12-31,8.01,$0.53,15.11
2019-09-30,7.84,$2.18,3.6
2019-06-30,8.77,$0.87,10.09
