Bolt Biotherapeutics PE Ratio Historical Data,Bolt Biotherapeutics PE Ratio Historical Data,Bolt Biotherapeutics PE Ratio Historical Data,Bolt Biotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.44,,0.0
2024-09-30,0.65,$-1.71,0.0
2024-06-30,0.75,$-1.74,0.0
2024-03-31,1.4,$-1.66,0.0
2023-12-31,1.12,$-1.83,0.0
2023-09-30,1.04,$-1.89,0.0
2023-06-30,1.28,$-2.04,0.0
2023-03-31,1.39,$-2.17,0.0
2022-12-31,1.3,$-2.36,0.0
2022-09-30,1.48,$-2.56,0.0
2022-06-30,2.04,$-2.61,0.0
2022-03-31,2.74,$-2.64,0.0
2021-12-31,4.9,$-3.14,0.0
