Atlanticus Holdings PE Ratio Historical Data,Atlanticus Holdings PE Ratio Historical Data,Atlanticus Holdings PE Ratio Historical Data,Atlanticus Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.28,,15.31
2024-12-31,55.78,$3.35,16.65
2024-09-30,35.08,$4.45,7.88
2024-06-30,28.18,$4.21,6.69
2024-03-31,29.59,$4.24,6.98
2023-12-31,38.67,$4.23,9.14
2023-09-30,30.31,$4.11,7.37
2023-06-30,42.01,$4.49,9.36
2023-03-31,27.13,$4.93,5.5
2022-12-31,26.2,$5.81,4.51
2022-09-30,26.23,$6.96,3.77
2022-06-30,35.17,$7.51,4.68
2022-03-31,51.79,$7.61,6.81
2021-12-31,71.32,$7.56,9.43
2021-09-30,53.06,$6.53,8.13
2021-06-30,39.7,$6.29,6.31
2021-03-31,30.33,$5.66,5.36
2020-12-31,24.63,$3.92,6.28
2020-09-30,11.9,$2.82,4.22
2020-06-30,10.34,$1.93,5.36
2020-03-31,9.92,$1.35,7.35
2019-12-31,9.01,$1.57,5.74
2019-09-30,8.35,$3.22,2.59
2019-06-30,4.05,$1.23,3.29
2019-03-31,3.4,$1.29,2.64
2018-12-31,3.64,$0.56,6.5
2018-09-30,2.96,$-2.41,0.0
2018-06-30,2.07,$-2.29,0.0
2018-03-31,2.04,$-3.33,0.0
2017-12-31,2.4,$-2.94,0.0
2017-09-30,2.35,$-1.77,0.0
2017-06-30,2.66,$-1.38,0.0
2017-03-31,2.65,$-0.73,0.0
2016-12-31,2.84,$-0.45,0.0
2016-09-30,3.01,$-0.45,0.0
2016-06-30,2.91,$0.23,12.65
2016-03-31,3.0,$0.31,9.68
2015-12-31,3.2,$0.12,26.67
2015-09-30,3.72,$2.79,1.33
2015-06-30,3.53,$2.34,1.51
2015-03-31,2.17,$1.44,1.5
2014-12-31,2.36,$0.51,4.62
2014-09-30,1.8,$-1.72,0.0
2014-06-30,2.8,$-1.95,0.0
2014-03-31,2.45,$-1.86,0.0
2013-12-31,3.55,$-1.29,0.0
2013-09-30,3.69,$-1.58,0.0
2013-06-30,3.58,$0.79,4.53
2013-03-31,3.68,$1.24,2.97
2012-12-31,3.35,$1.26,2.66
2012-09-30,3.72,$1.26,2.95
2012-06-30,3.62,$-0.38,0.0
2012-03-31,5.81,$4.31,1.35
2011-12-31,3.7,$5.30,0.7
2011-09-30,2.79,$5.30,0.53
2011-06-30,2.32,$5.27,0.44
2011-03-31,6.53,$0.11,59.36
2010-12-31,6.98,$-1.57,0.0
2010-09-30,4.82,$-2.71,0.0
2010-06-30,3.96,$-7.78,0.0
2010-03-31,5.16,$-9.86,0.0
2009-12-31,3.33,$-11.37,0.0
