Old Market Capital PE Ratio Historical Data,Old Market Capital PE Ratio Historical Data,Old Market Capital PE Ratio Historical Data,Old Market Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.39,,0.0
2024-12-31,6.42,$-0.79,0.0
2024-09-30,6.35,$-2.35,0.0
2024-06-30,6.57,$-3.72,0.0
2024-03-31,6.76,$-3.02,0.0
2023-12-31,6.9,$-5.01,0.0
2023-09-30,4.78,$-5.26,0.0
2023-06-30,5.0,$-4.26,0.0
2023-03-31,6.15,$-4.71,0.0
2022-12-31,6.3,$-2.48,0.0
2022-09-30,5.69,$-0.72,0.0
2022-06-30,9.32,$-0.07,0.0
2022-03-31,10.25,$0.39,26.28
2021-12-31,11.79,$0.58,20.33
2021-09-30,12.29,$1.16,10.59
2021-06-30,11.2,$1.11,10.09
2021-03-31,10.57,$1.07,9.88
2020-12-31,8.38,$1.12,7.48
2020-09-30,7.27,$0.67,10.85
2020-06-30,7.4,$0.54,13.7
2020-03-31,5.84,$0.43,13.58
2019-12-31,8.24,$-0.46,0.0
2019-09-30,9.01,$-0.62,0.0
2019-06-30,9.4,$-0.58,0.0
2019-03-31,9.0,$-0.47,0.0
2018-12-31,10.4,$0.21,49.52
2018-09-30,11.81,$-0.04,0.0
2018-06-30,9.2,$-0.07,0.0
2018-03-31,9.07,$-0.15,0.0
2017-12-31,8.8,$-0.37,0.0
2017-09-30,8.67,$0.21,41.29
2017-06-30,9.2,$0.42,21.9
2017-03-31,10.63,$0.69,15.41
2016-12-31,11.89,$1.18,10.08
2016-09-30,10.23,$1.32,7.75
2016-06-30,10.28,$1.49,6.9
2016-03-31,10.79,$1.59,6.79
2015-12-31,11.65,$1.57,7.42
2015-09-30,12.98,$1.52,8.54
2015-06-30,12.72,$1.45,8.77
2015-03-31,14.01,$1.38,10.15
2014-12-31,14.9,$1.28,11.64
2014-09-30,11.59,$1.29,8.98
2014-06-30,14.36,$1.29,11.13
2014-03-31,15.73,$1.35,11.65
2013-12-31,15.74,$1.52,10.36
2013-09-30,16.29,$1.58,10.31
2013-06-30,15.01,$1.65,9.1
2013-03-31,14.48,$1.63,8.88
2012-12-31,12.1,$1.73,7.0
2012-09-30,10.75,$1.81,5.94
2012-06-30,10.58,$1.85,5.72
2012-03-31,10.8,$1.85,5.84
2011-12-31,10.42,$1.75,5.96
2011-09-30,7.88,$1.68,4.69
2011-06-30,9.48,$1.56,6.08
2011-03-31,9.74,$1.42,6.86
2010-12-31,8.17,$1.30,6.29
2010-09-30,7.34,$1.17,6.27
2010-06-30,6.57,$1.04,6.32
2010-03-31,6.04,$0.94,6.43
2009-12-31,5.5,$0.84,6.54
