"Compania Cervecerias Unidas, S.A PE Ratio Historical Data","Compania Cervecerias Unidas, S.A PE Ratio Historical Data","Compania Cervecerias Unidas, S.A PE Ratio Historical Data","Compania Cervecerias Unidas, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.2,,20.27
2024-09-30,11.37,$0.75,15.17
2024-06-30,11.13,$0.64,17.39
2024-03-31,11.55,$0.58,19.91
2023-12-31,12.08,$0.66,18.3
2023-09-30,11.92,$0.69,17.27
2023-06-30,15.35,$0.73,21.03
2023-03-31,14.72,$0.69,21.33
2022-12-31,12.36,$0.73,16.92
2022-09-30,9.85,$0.97,10.16
2022-06-30,11.55,$1.17,9.87
2022-03-31,13.15,$1.38,9.53
2021-12-31,14.43,$1.45,9.95
2021-09-30,13.76,$1.32,10.42
2021-06-30,16.03,$1.11,14.44
2021-03-31,13.75,$0.95,14.47
2020-12-31,11.44,$0.68,16.82
2020-09-30,9.99,$0.68,14.69
2020-06-30,11.03,$0.66,16.71
2020-03-31,10.02,$0.82,12.22
2019-12-31,14.21,$0.99,14.35
2019-09-30,16.45,$1.14,14.43
2019-06-30,20.94,$1.24,16.89
2019-03-31,21.72,$2.54,8.55
2018-12-31,18.53,$2.66,6.97
2018-09-30,20.57,$2.59,7.94
2018-06-30,18.39,$2.58,7.13
2018-03-31,21.42,$1.21,17.7
2017-12-31,21.54,$1.08,19.95
2017-09-30,19.46,$1.06,18.36
2017-06-30,18.96,$1.00,18.96
2017-03-31,18.04,$0.98,18.41
2016-12-31,14.98,$0.94,15.93
2016-09-30,14.28,$0.78,18.3
2016-06-30,16.51,$0.85,19.42
2016-03-31,15.67,$0.96,16.32
2015-12-31,15.12,$1.00,15.12
2015-09-30,15.33,$1.08,14.2
2015-06-30,14.66,$1.05,13.96
2015-03-31,14.15,$1.09,12.98
2014-12-31,12.65,$1.11,11.39
2014-09-30,14.85,$1.23,12.08
2014-06-30,15.79,$1.35,11.7
2014-03-31,14.84,$1.35,10.99
2013-12-31,15.98,$1.49,10.73
2013-09-30,17.47,$1.60,10.92
2013-06-30,18.78,$1.57,11.98
2013-03-31,21.51,$1.53,14.08
2012-12-31,20.46,$1.51,13.57
2012-09-30,18.46,$1.47,12.58
2012-06-30,16.14,$1.52,10.62
2012-03-31,20.22,$1.50,13.52
2011-12-31,16.22,$1.42,11.45
2011-09-30,13.19,$1.34,9.88
2011-06-30,15.02,$1.30,11.59
2011-03-31,15.01,$1.32,11.37
2010-12-31,15.33,$1.28,11.94
2010-09-30,14.04,$1.21,11.62
2010-06-30,10.87,$1.48,7.36
2010-03-31,9.26,$1.67,5.55
2009-12-31,9.63,$1.27,7.61
