FGI Industries PE Ratio Historical Data,FGI Industries PE Ratio Historical Data,FGI Industries PE Ratio Historical Data,FGI Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-09-30,0.77,$-0.03,0.0
2024-06-30,1.12,$0.07,16.0
2024-03-31,1.49,$0.06,24.83
2023-12-31,1.64,$0.07,23.43
2023-09-30,1.45,$0.09,16.11
2023-06-30,1.73,$0.16,10.81
2023-03-31,1.95,$0.25,7.8
2022-12-31,2.15,$0.33,6.52
