Haverty Furniture PE Ratio Historical Data,Haverty Furniture PE Ratio Historical Data,Haverty Furniture PE Ratio Historical Data,Haverty Furniture PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.62,,30.89
2024-12-31,22.29,$0.70,31.84
2024-09-30,26.95,$1.59,16.95
2024-06-30,25.6,$2.32,11.03
2024-03-31,32.44,$2.75,11.8
2023-12-31,35.58,$3.35,10.62
2023-09-30,27.93,$3.85,7.25
2023-06-30,26.9,$4.29,6.27
2023-03-31,30.22,$4.86,6.22
2022-12-31,29.0,$5.23,5.55
2022-09-30,23.59,$5.19,4.55
2022-06-30,23.03,$5.04,4.57
2022-03-31,26.02,$4.98,5.22
2021-12-31,27.92,$4.91,5.69
2021-09-30,33.13,$4.93,6.72
2021-06-30,39.47,$4.59,8.6
2021-03-31,33.98,$4.10,8.29
2020-12-31,26.55,$3.15,8.43
2020-09-30,18.13,$2.09,8.67
