Energy Transfer LP PE Ratio Historical Data,Energy Transfer LP PE Ratio Historical Data,Energy Transfer LP PE Ratio Historical Data,Energy Transfer LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.85,,14.73
2024-12-31,19.59,$1.28,15.3
2024-09-30,15.76,$1.36,11.59
2024-06-30,15.6,$1.19,13.11
2024-03-31,14.84,$1.09,13.61
2023-12-31,12.73,$1.09,11.68
2023-09-30,12.64,$1.06,11.93
2023-06-30,11.17,$1.20,9.31
2023-03-31,10.7,$1.34,7.99
2022-12-31,9.95,$1.39,7.16
2022-09-30,9.05,$1.34,6.76
2022-06-30,8.02,$1.25,6.42
2022-03-31,8.84,$1.06,8.34
2021-12-31,6.39,$1.90,3.36
2021-09-30,7.32,$1.80,4.06
2021-06-30,7.99,$1.31,6.1
2021-03-31,5.68,$1.24,4.58
2020-12-31,4.47,$-0.29,0.0
2020-09-30,3.81,$-0.10,0.0
2020-06-30,4.79,$0.51,9.39
2020-03-31,2.97,$0.71,4.19
2019-12-31,8.1,$1.36,5.95
2019-09-30,8.06,$1.24,6.5
2019-06-30,8.48,$1.24,6.84
2019-03-31,9.08,$1.22,7.44
2018-12-31,7.64,$1.20,6.37
2018-09-30,9.89,$1.16,8.53
2018-06-30,9.63,$1.06,9.09
2018-03-31,7.79,$0.93,8.38
2017-12-31,9.3,$0.83,11.2
2017-09-30,9.21,$0.82,11.24
2017-06-30,9.37,$0.79,11.86
2017-03-31,10.13,$0.84,12.05
2016-12-31,9.76,$0.93,10.5
2016-09-30,8.32,$1.02,8.16
2016-06-30,7.0,$1.11,6.3
2016-03-31,3.39,$1.16,2.92
2015-12-31,6.31,$1.12,5.63
2015-09-30,9.43,$0.93,10.2
2015-06-30,14.41,$0.82,17.57
2015-03-31,14.12,$0.69,20.47
2014-12-31,12.69,$0.58,21.88
2014-09-30,13.54,$0.32,42.33
2014-06-30,12.85,$0.28,45.89
2014-03-31,10.12,$0.24,41.71
2013-12-31,8.77,$0.17,50.82
2013-09-30,6.99,$0.37,18.88
2013-06-30,6.29,$0.27,23.51
2013-03-31,6.08,$0.20,30.03
2012-12-31,4.67,$0.31,15.31
2012-09-30,4.58,$0.36,12.8
2012-06-30,4.09,$0.40,10.17
2012-03-31,3.96,$0.43,9.21
2011-12-31,3.93,$0.35,11.31
2011-09-30,3.31,$0.34,9.81
2011-06-30,4.22,$0.24,17.39
2011-03-31,4.17,$0.19,21.93
2010-12-31,3.57,$0.22,16.6
2010-09-30,3.34,$0.29,11.73
2010-06-30,3.0,$0.36,8.44
2010-03-31,2.95,$0.45,6.55
2009-12-31,2.63,$0.50,5.3
