Icahn Enterprises PE Ratio Historical Data,Icahn Enterprises PE Ratio Historical Data,Icahn Enterprises PE Ratio Historical Data,Icahn Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.67,,0.0
2024-12-31,8.67,$-0.95,0.0
2024-09-30,12.98,$-1.09,0.0
2024-06-30,14.9,$-1.15,0.0
2024-03-31,14.52,$-1.15,0.0
2023-12-31,13.91,$-1.81,0.0
2023-09-30,15.12,$-2.22,0.0
2023-06-30,21.24,$-2.58,0.0
2023-03-31,35.62,$-2.27,0.0
2022-12-31,33.56,$-0.46,0.0
2022-09-30,31.7,$-1.44,0.0
2022-06-30,29.57,$-1.62,0.0
2022-03-31,30.72,$-1.74,0.0
2021-12-31,28.26,$-2.15,0.0
2021-09-30,27.46,$0.18,152.53
2021-06-30,29.16,$-2.41,0.0
2021-03-31,27.51,$-0.52,0.0
2020-12-31,25.04,$-7.51,0.0
2020-09-30,23.44,$-8.86,0.0
2020-06-30,22.21,$-5.96,0.0
2020-03-31,21.31,$-9.81,0.0
2019-12-31,25.91,$-5.49,0.0
2019-09-30,26.24,$3.28,8.0
2019-06-30,28.78,$4.20,6.85
2019-03-31,28.05,$8.39,3.34
2018-12-31,21.47,$11.18,1.92
2018-09-30,25.95,$4.87,5.33
2018-06-30,25.49,$7.72,3.3
2018-03-31,19.96,$15.53,1.29
2017-12-31,18.02,$14.64,1.23
2017-09-30,18.16,$11.50,1.58
2017-06-30,16.64,$7.85,2.12
2017-03-31,16.02,$-2.16,0.0
2016-12-31,18.22,$-8.25,0.0
2016-09-30,14.92,$-15.39,0.0
2016-06-30,15.52,$-18.61,0.0
2016-03-31,17.64,$-16.43,0.0
2015-12-31,16.76,$-8.95,0.0
2015-09-30,17.95,$3.45,5.2
2015-06-30,22.77,$3.89,5.85
2015-03-31,23.16,$6.27,3.69
2014-12-31,23.5,$4.76,4.94
2014-09-30,26.9,$2.82,9.54
2014-06-30,24.99,$9.82,2.54
2014-03-31,25.37,$6.24,4.07
2013-12-31,26.66,$8.98,2.97
2013-09-30,20.07,$7.14,2.81
2013-06-30,17.26,$3.80,4.55
2013-03-31,12.77,$5.58,2.29
2012-12-31,10.33,$3.56,2.9
2012-09-30,9.37,$6.30,1.49
2012-06-30,9.13,$5.12,1.78
2012-03-31,9.79,$5.97,1.64
2011-12-31,8.08,$8.08,1.0
2011-09-30,8.15,$6.18,1.32
2011-06-30,9.65,$9.85,0.98
2011-03-31,8.86,$4.65,1.91
2010-12-31,7.77,$1.29,6.04
2010-09-30,8.03,$0.29,27.68
2010-06-30,8.03,$-1.60,0.0
2010-03-31,10.24,$2.02,5.07
2009-12-31,8.57,$2.80,3.06
