Sonim Technologies PE Ratio Historical Data,Sonim Technologies PE Ratio Historical Data,Sonim Technologies PE Ratio Historical Data,Sonim Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.19,,0.0
2024-09-30,2.9,$-2.93,0.0
2024-06-30,10.0,$-2.31,0.0
2024-03-31,6.1,$-0.80,0.0
2023-12-31,7.35,$0.00,0.0
2023-09-30,6.7,$0.30,22.33
2023-06-30,11.5,$-0.20,0.0
2023-03-31,10.1,$-2.50,0.0
2022-12-31,4.25,$-6.40,0.0
2022-09-30,5.0,$-10.00,0.0
2022-06-30,5.47,$-22.70,0.0
2022-03-31,8.56,$-30.50,0.0
2021-12-31,9.22,$-40.70,0.0
2021-09-30,27.0,$-47.10,0.0
2021-06-30,55.8,$-44.00,0.0
2021-03-31,81.99,$-56.00,0.0
2020-12-31,72.4,$-90.00,0.0
2020-09-30,77.6,$-121.00,0.0
2020-06-30,80.09,$-144.00,0.0
2020-03-31,70.0,$-156.00,0.0
