Pro-Dex PE Ratio Historical Data,Pro-Dex PE Ratio Historical Data,Pro-Dex PE Ratio Historical Data,Pro-Dex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.05,,24.4
2024-12-31,46.75,$2.01,23.26
2024-09-30,29.85,$1.54,19.38
2024-06-30,19.64,$0.62,31.68
2024-03-31,17.6,$0.58,30.34
2023-12-31,17.52,$0.75,23.36
2023-09-30,15.7,$0.85,18.47
2023-06-30,19.1,$1.31,14.58
2023-03-31,16.41,$1.27,12.92
2022-12-31,15.9,$1.03,15.44
2022-09-30,17.72,$1.04,17.04
2022-06-30,15.95,$1.03,15.49
2022-03-31,16.53,$0.87,19.0
2021-12-31,23.21,$1.25,18.57
2021-09-30,25.67,$1.08,23.77
2021-06-30,30.56,$1.12,27.29
2021-03-31,26.95,$0.90,29.94
2020-12-31,30.97,$0.70,44.24
2020-09-30,28.6,$0.93,30.75
2020-06-30,17.82,$0.88,20.25
2020-03-31,16.2,$1.09,14.86
2019-12-31,17.55,$0.96,18.28
2019-09-30,15.3,$0.93,16.45
2019-06-30,12.98,$0.97,13.38
2019-03-31,14.48,$0.79,18.33
2018-12-31,12.08,$0.73,16.55
2018-09-30,10.4,$0.53,19.62
2018-06-30,6.65,$0.37,17.97
2018-03-31,6.85,$0.52,13.17
2017-12-31,6.8,$0.63,10.79
2017-09-30,7.25,$1.33,5.45
2017-06-30,6.15,$1.18,5.21
2017-03-31,4.6,$1.05,4.38
2016-12-31,4.7,$0.92,5.11
2016-09-30,4.58,$0.23,19.91
2016-06-30,5.56,$0.20,27.8
2016-03-31,3.82,$0.17,22.47
2015-12-31,2.42,$0.06,40.26
2015-09-30,2.46,$-0.08,0.0
2015-06-30,2.34,$-0.09,0.0
2015-03-31,2.06,$-0.10,0.0
2014-12-31,2.47,$-0.20,0.0
2014-09-30,2.28,$-0.25,0.0
2014-06-30,2.1,$-0.15,0.0
2014-03-31,1.99,$-0.36,0.0
2013-12-31,2.43,$-0.46,0.0
2013-09-30,2.0,$-0.47,0.0
2013-06-30,1.9,$-0.54,0.0
2013-03-31,2.09,$-0.51,0.0
2012-12-31,2.05,$-0.44,0.0
2012-09-30,1.72,$-0.42,0.0
2012-06-30,2.03,$-0.27,0.0
2012-03-31,2.45,$0.21,11.67
2011-12-31,2.46,$0.62,3.97
2011-09-30,2.0,$0.83,2.41
2011-06-30,2.08,$0.79,2.63
2011-03-31,2.3,$-0.72,0.0
2010-12-31,2.01,$-0.92,0.0
2010-09-30,2.1,$-0.86,0.0
2010-06-30,1.89,$-0.90,0.0
2010-03-31,1.53,$0.36,4.25
2009-12-31,1.52,$-0.63,0.0
