Rimini Street PE Ratio Historical Data,Rimini Street PE Ratio Historical Data,Rimini Street PE Ratio Historical Data,Rimini Street PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.0,,0.0
2024-12-31,2.67,$-0.40,0.0
2024-09-30,1.85,$-0.37,0.0
2024-06-30,3.07,$0.18,17.06
2024-03-31,3.26,$0.24,13.58
2023-12-31,3.27,$0.29,11.28
2023-09-30,2.2,$0.13,16.92
2023-06-30,4.79,$0.05,95.8
2023-03-31,4.12,0,0.0
2022-12-31,3.81,$-0.03,0.0
2022-09-30,4.66,$0.80,5.83
2022-06-30,6.01,$0.72,8.35
2022-03-31,5.8,$0.66,8.79
2021-12-31,5.97,$0.50,11.94
2021-09-30,9.65,$-0.31,0.0
2021-06-30,6.16,$-0.28,0.0
2021-03-31,8.97,$-0.27,0.0
2020-12-31,4.43,$-0.20,0.0
2020-09-30,3.22,$-0.26,0.0
2020-06-30,5.15,$-0.28,0.0
2020-03-31,4.09,$-0.26,0.0
2019-12-31,3.88,$-0.13,0.0
2019-09-30,4.38,$-0.09,0.0
2019-06-30,5.3,$-0.87,0.0
