Metropolitan Bank Holding PE Ratio Historical Data,Metropolitan Bank Holding PE Ratio Historical Data,Metropolitan Bank Holding PE Ratio Historical Data,Metropolitan Bank Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.14,,9.31
2024-12-31,58.4,$5.92,9.86
2024-09-30,52.58,$5.32,9.88
2024-06-30,42.09,$6.21,6.78
2024-03-31,38.5,$6.08,6.33
2023-12-31,55.38,$6.87,8.06
2023-09-30,36.28,$4.88,7.43
2023-06-30,34.73,$5.14,6.76
2023-03-31,33.89,$5.84,5.8
2022-12-31,58.67,$5.28,11.11
2022-09-30,64.36,$7.68,8.38
2022-06-30,69.42,$7.22,9.61
2022-03-31,101.77,$6.70,15.19
2021-12-31,106.53,$6.44,16.54
2021-09-30,84.3,$6.14,13.73
2021-06-30,60.22,$5.64,10.68
2021-03-31,50.36,$5.38,9.36
2020-12-31,36.27,$4.67,7.77
2020-09-30,28.0,$4.21,6.65
2020-06-30,32.08,$3.84,8.35
2020-03-31,26.93,$3.26,8.26
2019-12-31,48.23,$3.55,13.59
2019-09-30,39.33,$3.37,11.67
2019-06-30,44.0,$3.32,13.25
2019-03-31,34.79,$3.31,10.51
2018-12-31,30.85,$3.05,10.11
2018-09-30,41.12,$2.79,14.74
