Piper Sandler PE Ratio Historical Data,Piper Sandler PE Ratio Historical Data,Piper Sandler PE Ratio Historical Data,Piper Sandler PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,257.15,,25.16
2024-12-31,299.95,$10.22,29.35
2024-09-30,283.27,$9.36,30.26
2024-06-30,229.18,$7.62,30.08
2024-03-31,197.07,$5.88,33.52
2023-12-31,172.16,$4.94,34.85
2023-09-30,142.5,$4.19,34.01
2023-06-30,126.21,$4.84,26.08
2023-03-31,134.71,$5.87,22.95
2022-12-31,124.94,$6.50,19.22
2022-09-30,100.1,$10.79,9.28
2022-06-30,107.82,$12.60,8.56
2022-03-31,124.25,$15.46,8.04
2021-12-31,163.0,$16.34,9.98
2021-09-30,124.0,$12.46,9.95
2021-06-30,115.58,$10.56,10.95
2021-03-31,97.48,$6.54,14.9
2020-12-31,87.85,$2.47,35.57
2020-09-30,63.31,$2.51,25.22
2020-06-30,51.1,$4.74,10.78
2020-03-31,43.54,$5.36,8.12
2019-12-31,67.74,$7.75,8.74
2019-09-30,63.66,$6.26,10.17
2019-06-30,62.31,$4.68,13.31
2019-03-31,60.79,$4.39,13.85
2018-12-31,54.67,$3.54,15.44
2018-09-30,63.06,$-1.30,0.0
2018-06-30,63.17,$-6.64,0.0
2018-03-31,67.93,$-6.18,0.0
2017-12-31,68.95,$-5.34,0.0
2017-09-30,47.26,$-4.71,0.0
2017-06-30,47.47,$-0.10,0.0
2017-03-31,50.3,$-0.87,0.0
2016-12-31,56.89,$-2.02,0.0
2016-09-30,37.9,$1.86,20.38
2016-06-30,29.58,$1.48,19.99
2016-03-31,38.89,$2.44,15.94
2015-12-31,31.7,$3.31,9.58
2015-09-30,28.38,$3.20,8.87
2015-06-30,34.24,$3.78,9.06
2015-03-31,41.17,$3.81,10.8
2014-12-31,45.58,$3.88,11.75
2014-09-30,40.99,$4.81,8.52
2014-06-30,40.62,$4.24,9.58
2014-03-31,35.94,$3.28,10.96
2013-12-31,31.03,$2.75,11.29
2013-09-30,26.91,$1.72,15.64
2013-06-30,24.8,$2.50,9.92
2013-03-31,26.92,$2.72,9.9
2012-12-31,25.21,$2.30,10.96
2012-09-30,19.97,$-5.75,0.0
2012-06-30,18.39,$-7.09,0.0
2012-03-31,20.89,$-6.91,0.0
2011-12-31,15.85,$-6.68,0.0
2011-09-30,14.07,$1.19,11.82
2011-06-30,22.61,$1.78,12.7
2011-03-31,32.51,$1.59,20.45
2010-12-31,27.47,$1.24,22.16
2010-09-30,22.86,$1.38,16.56
2010-06-30,25.28,$1.49,16.97
2010-03-31,31.62,$1.72,18.39
2009-12-31,39.71,$1.52,26.13
