Travel + Leisure PE Ratio Historical Data,Travel + Leisure PE Ratio Historical Data,Travel + Leisure PE Ratio Historical Data,Travel + Leisure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.6,,8.15
2024-12-31,50.45,$5.84,8.64
2024-09-30,45.65,$5.89,7.75
2024-06-30,44.04,$5.99,7.35
2024-03-31,47.4,$5.43,8.73
2023-12-31,37.44,$5.32,7.04
2023-09-30,34.8,$4.67,7.45
2023-06-30,37.79,$4.56,8.29
2023-03-31,36.33,$4.47,8.13
2022-12-31,33.33,$4.25,7.84
2022-09-30,30.91,$4.35,7.11
2022-06-30,34.84,$4.12,8.46
2022-03-31,51.51,$3.78,13.63
2021-12-31,48.77,$3.52,13.86
2021-09-30,47.78,$2.33,20.51
2021-06-30,51.81,$1.65,31.4
2021-03-31,53.05,$-1.09,0.0
2020-12-31,38.72,$-2.96,0.0
2020-09-30,26.36,$-1.12,0.0
2020-06-30,23.94,$-0.12,0.0
2020-03-31,18.16,$3.12,5.82
2019-12-31,42.57,$5.50,7.74
2019-09-30,37.56,$4.79,7.84
2019-06-30,35.5,$4.81,7.38
2019-03-31,32.4,$7.26,4.46
2018-12-31,28.37,$6.76,4.2
2018-09-30,33.95,$10.01,3.39
2018-06-30,34.32,$10.49,3.27
2018-03-31,39.72,$7.47,5.32
2017-12-31,39.99,$8.46,4.73
2017-09-30,36.19,$5.58,6.48
2017-06-30,34.27,$5.39,6.36
2017-03-31,28.59,$6.03,4.74
2016-12-31,25.73,$5.54,4.64
2016-09-30,22.53,$5.22,4.32
2016-06-30,23.67,$5.05,4.69
2016-03-31,25.21,$4.99,5.05
2015-12-31,23.8,$5.15,4.62
2015-09-30,23.43,$4.59,5.1
2015-06-30,26.54,$4.62,5.75
2015-03-31,29.17,$4.49,6.5
2014-12-31,27.53,$4.18,6.59
2014-09-30,25.97,$4.18,6.21
2014-06-30,24.1,$3.94,6.12
2014-03-31,23.19,$3.72,6.23
2013-12-31,23.23,$3.22,7.21
2013-09-30,19.06,$3.14,6.07
2013-06-30,17.8,$2.85,6.25
2013-03-31,19.97,$2.75,7.26
2012-12-31,16.4,$2.77,5.92
2012-09-30,16.1,$2.57,6.26
2012-06-30,16.11,$2.54,6.34
2012-03-31,14.14,$2.33,6.07
2011-12-31,11.44,$2.53,4.52
2011-09-30,8.58,$2.59,3.31
2011-06-30,10.08,$2.35,4.29
2011-03-31,9.49,$2.19,4.33
2010-12-31,8.89,$2.05,4.34
2010-09-30,8.12,$2.02,4.02
2010-06-30,5.92,$1.75,3.38
2010-03-31,7.53,$1.63,4.62
2009-12-31,5.87,$1.61,3.65
