Consolidated Water PE Ratio Historical Data,Consolidated Water PE Ratio Historical Data,Consolidated Water PE Ratio Historical Data,Consolidated Water PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.6,,16.53
2024-09-30,25.1,$1.67,15.03
2024-06-30,26.33,$1.93,13.64
2024-03-31,29.07,$1.40,20.77
2023-12-31,35.2,$1.24,28.39
2023-09-30,28.04,$1.24,22.62
2023-06-30,23.81,$0.72,33.07
2023-03-31,16.09,$0.41,39.25
2022-12-31,14.42,$0.28,51.5
2022-09-30,14.9,$0.28,53.21
2022-06-30,13.97,$0.28,49.89
2022-03-31,10.59,$0.02,529.69
2021-12-31,10.11,$-0.03,0.0
2021-09-30,10.75,$-0.03,0.0
2021-06-30,10.98,$0.04,274.49
2021-03-31,12.5,$0.08,156.24
2020-12-31,11.13,$0.21,52.99
2020-09-30,9.55,$0.21,45.46
2020-06-30,13.13,$0.23,57.07
2020-03-31,14.83,$0.46,32.24
2019-12-31,14.66,$0.68,21.56
2019-09-30,14.76,$0.68,21.7
2019-06-30,12.7,$0.87,14.59
2019-03-31,11.39,$0.85,13.4
2018-12-31,10.25,$0.58,17.68
2018-09-30,12.18,$0.70,17.4
2018-06-30,11.27,$0.48,23.49
2018-03-31,12.63,$0.38,33.24
2017-12-31,10.8,$0.42,25.72
2017-09-30,10.97,$0.41,26.77
2017-06-30,10.57,$0.20,52.84
2017-03-31,9.87,$0.31,31.83
2016-12-31,9.13,$0.27,33.82
2016-09-30,9.71,$0.27,35.97
2016-06-30,10.85,$0.52,20.86
2016-03-31,10.05,$0.52,19.32
2015-12-31,10.04,$0.51,19.69
2015-09-30,9.46,$0.46,20.57
2015-06-30,10.21,$0.47,21.73
2015-03-31,8.28,$0.51,16.23
2014-12-31,8.54,$0.42,20.34
2014-09-30,9.28,$0.43,21.57
2014-06-30,9.29,$0.36,25.8
2014-03-31,10.33,$0.36,28.71
2013-12-31,10.99,$0.58,18.95
2013-09-30,11.61,$0.76,15.27
2013-06-30,8.82,$0.79,11.16
2013-03-31,7.59,$0.73,10.39
2012-12-31,5.63,$0.63,8.93
2012-09-30,6.23,$0.44,14.15
2012-06-30,6.19,$0.44,14.06
2012-03-31,5.85,$0.44,13.29
2011-12-31,6.28,$0.42,14.96
2011-09-30,5.72,$0.42,13.62
2011-06-30,6.68,$0.42,15.91
2011-03-31,7.78,$0.36,21.61
2010-12-31,6.5,$0.43,15.12
2010-09-30,6.67,$0.30,22.23
2010-06-30,7.94,$0.26,30.55
2010-03-31,9.37,$0.45,20.82
2009-12-31,9.86,$0.42,23.48
