Atea Pharmaceuticals PE Ratio Historical Data,Atea Pharmaceuticals PE Ratio Historical Data,Atea Pharmaceuticals PE Ratio Historical Data,Atea Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.15,,0.0
2024-12-31,3.35,$-2.00,0.0
2024-09-30,3.35,$-2.07,0.0
2024-06-30,3.31,$-2.10,0.0
2024-03-31,4.04,$-1.96,0.0
2023-12-31,3.05,$-1.64,0.0
2023-09-30,3.0,$-1.58,0.0
2023-06-30,3.74,$-1.28,0.0
2023-03-31,3.35,$-1.32,0.0
2022-12-31,4.81,$-1.40,0.0
2022-09-30,5.69,$0.35,16.26
2022-06-30,7.1,$0.11,64.55
2022-03-31,7.22,$0.51,14.16
2021-12-31,8.94,$1.36,6.57
2021-09-30,35.06,$0.02,1753.0
