Shutterstock PE Ratio Historical Data,Shutterstock PE Ratio Historical Data,Shutterstock PE Ratio Historical Data,Shutterstock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.52,,19.33
2024-12-31,30.35,$1.01,30.05
2024-09-30,35.04,$1.02,34.35
2024-06-30,38.01,$1.31,29.02
2024-03-31,45.0,$2.58,17.44
2023-12-31,47.12,$3.03,15.55
2023-09-30,36.91,$3.25,11.36
2023-06-30,46.92,$3.10,15.13
2023-03-31,69.61,$2.26,30.8
2022-12-31,50.37,$2.07,24.33
2022-09-30,47.72,$2.33,20.48
2022-06-30,54.27,$2.12,25.6
2022-03-31,87.79,$2.38,36.89
2021-12-31,104.3,$2.46,42.4
2021-09-30,106.4,$2.71,39.26
2021-06-30,92.0,$2.90,31.72
2021-03-31,83.25,$2.64,31.53
2020-12-31,66.88,$1.97,33.95
2020-09-30,48.42,$1.39,34.84
2020-06-30,32.43,$0.91,35.64
2020-03-31,29.69,$0.47,63.17
2019-12-31,39.41,$0.56,70.37
2019-09-30,33.2,$0.86,38.6
2019-06-30,36.02,$0.93,38.73
2019-03-31,42.86,$0.83,51.63
2018-12-31,33.1,$1.54,21.49
2018-09-30,50.16,$1.18,42.51
2018-06-30,41.21,$1.11,37.12
2018-03-31,41.81,$1.21,34.55
2017-12-31,37.36,$0.48,77.83
2017-09-30,28.9,$0.69,41.89
2017-06-30,38.27,$0.81,47.25
2017-03-31,35.9,$0.92,39.02
2016-12-31,41.26,$0.90,45.84
2016-09-30,55.31,$0.82,67.45
2016-06-30,39.77,$0.67,59.35
2016-03-31,31.89,$0.62,51.44
2015-12-31,28.08,$0.54,52.0
2015-09-30,26.26,$0.54,48.62
2015-06-30,50.91,$0.58,87.78
2015-03-31,59.62,$0.57,104.6
2014-12-31,60.0,$0.62,96.77
2014-09-30,61.98,$0.65,95.35
2014-06-30,72.05,$0.68,105.95
2014-03-31,63.04,$0.74,85.19
2013-12-31,72.61,$0.76,95.54
2013-09-30,63.14,$1.42,44.46
