Eastman Kodak PE Ratio Historical Data,Eastman Kodak PE Ratio Historical Data,Eastman Kodak PE Ratio Historical Data,Eastman Kodak PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.51,,9.3
2024-09-30,4.72,$0.70,6.74
2024-06-30,5.38,$0.55,9.78
2024-03-31,4.95,$0.64,7.73
2023-12-31,3.9,$0.64,6.09
2023-09-30,4.21,$0.67,6.28
2023-06-30,4.62,$0.66,7.0
2023-03-31,4.1,$0.53,7.74
2022-12-31,3.05,$0.15,20.33
2022-09-30,4.59,$-0.02,0.0
2022-06-30,4.64,$0.05,92.8
2022-03-31,6.55,$0.02,327.5
2021-12-31,4.68,$0.26,18.0
2021-09-30,6.81,$0.38,17.92
2021-06-30,8.32,$-6.62,0.0
2021-03-31,7.87,$-7.01,0.0
2020-12-31,8.14,$-9.83,0.0
2020-09-30,8.82,$-9.83,0.0
2020-06-30,2.23,$-3.12,0.0
2020-03-31,1.73,$1.67,1.04
2019-12-31,4.65,$3.79,1.23
2019-09-30,2.64,$3.79,0.7
2019-06-30,2.4,$4.35,0.55
2019-03-31,2.96,$-0.23,0.0
2018-12-31,2.55,$-0.28,0.0
2018-09-30,3.1,$2.62,1.18
2018-06-30,3.8,$1.09,3.49
2018-03-31,5.35,$1.09,4.91
2017-12-31,3.1,$1.73,1.79
2017-09-30,7.35,$-1.01,0.0
2017-06-30,9.1,$0.56,16.25
2017-03-31,11.5,$0.74,15.54
2016-12-31,15.5,$0.26,59.62
2016-09-30,15.0,$0.67,22.39
2016-06-30,16.08,$-0.23,0.0
2016-03-31,10.85,$-0.96,0.0
2015-12-31,12.54,$-1.91,0.0
2015-09-30,15.62,$-3.48,0.0
2015-06-30,16.8,$-2.56,0.0
2015-03-31,18.99,$-3.48,0.0
2014-12-31,21.71,$-2.10,0.0
2014-09-30,21.97,$-1.10,0.0
2014-06-30,24.47,$-1.49,0.0
