GeoVax Labs PE Ratio Historical Data,GeoVax Labs PE Ratio Historical Data,GeoVax Labs PE Ratio Historical Data,GeoVax Labs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.35,,0.0
2024-09-30,2.41,$-5.37,0.0
2024-06-30,3.19,$-9.26,0.0
2024-03-31,2.0,$-10.57,0.0
2023-12-31,0.36,$-10.34,0.0
2023-09-30,0.51,$-13.34,0.0
2023-06-30,0.55,$-11.09,0.0
2023-03-31,0.67,$-10.49,0.0
2022-12-31,0.63,$-13.34,0.0
2022-09-30,1.09,$-43.93,0.0
2022-06-30,0.83,$-46.03,0.0
2022-03-31,1.15,$-46.48,0.0
2021-12-31,3.62,$-45.73,0.0
2021-09-30,4.32,$-12.14,0.0
2021-06-30,5.0,$-18.44,0.0
2021-03-31,4.38,$-24.29,0.0
2020-12-31,3.38,$-58.92,0.0
