Telesat PE Ratio Historical Data,Telesat PE Ratio Historical Data,Telesat PE Ratio Historical Data,Telesat PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.54,,8.86
2024-09-30,13.17,$2.43,5.42
2024-06-30,9.1,$1.47,6.19
2024-03-31,8.52,$7.17,1.19
2023-12-31,10.43,$8.41,1.24
2023-09-30,14.3,$9.17,1.56
2023-06-30,9.42,$5.64,1.67
2023-03-31,8.6,$-1.98,0.0
2022-12-31,7.5,$-1.53,0.0
2022-09-30,7.81,$-2.83,0.0
2022-06-30,11.17,$-0.05,0.0
2022-03-31,16.5,$0.72,22.92
2021-12-31,28.67,$0.81,35.4
2021-09-30,43.01,$3.68,11.69
2021-06-30,38.85,$6.13,6.34
2021-03-31,37.67,$7.85,4.8
2020-12-31,20.99,$2.95,7.12
2020-09-30,17.08,$0.30,56.93
2020-06-30,18.22,$-1.14,0.0
2020-03-31,15.17,$-2.27,0.0
2019-12-31,30.16,$2.88,10.47
2019-09-30,38.64,$1.34,28.83
2019-06-30,32.21,$2.62,12.29
2019-03-31,33.64,$1.41,23.86
2018-12-31,34.76,$0.32,108.64
2018-09-30,42.37,$1.64,25.83
2018-06-30,35.09,$0.93,37.73
2018-03-31,38.87,$0.84,46.27
2017-12-31,41.11,$0.70,58.73
2017-09-30,46.2,$0.70,65.99
2017-06-30,38.78,$-0.19,0.0
2017-03-31,36.77,$0.91,40.41
2016-12-31,38.31,$1.63,23.5
2016-09-30,36.5,$1.57,23.25
2016-06-30,32.92,$1.57,20.97
2016-03-31,32.78,$1.09,30.08
2015-12-31,37.99,$-2.30,0.0
2015-09-30,43.94,$-3.26,0.0
2015-06-30,58.91,$-4.19,0.0
2015-03-31,63.87,$-3.07,0.0
2014-12-31,73.46,$-0.88,0.0
2014-09-30,67.02,$0.21,319.13
2014-06-30,67.84,$2.39,28.38
2014-03-31,66.01,$0.46,143.5
2013-12-31,75.57,$0.50,151.15
2013-09-30,63.21,$11.65,5.43
2013-06-30,55.98,$10.52,5.32
2013-03-31,57.75,$10.62,5.44
2012-12-31,51.01,$11.30,4.51
2012-09-30,43.08,$3.36,12.82
2012-06-30,40.81,$0.84,48.58
2012-03-31,39.99,$1.91,20.94
2011-12-31,32.6,$3.77,8.65
2011-09-30,25.17,$13.36,1.88
2011-06-30,34.9,$18.17,1.92
2011-03-31,38.96,$16.60,2.35
2010-12-31,38.44,$15.47,2.48
2010-09-30,26.23,$4.57,5.74
2010-06-30,21.46,$5.89,3.64
2010-03-31,17.65,$9.03,1.95
2009-12-31,15.88,$7.70,2.06
