Frontline PE Ratio Historical Data,Frontline PE Ratio Historical Data,Frontline PE Ratio Historical Data,Frontline PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.88,,6.89
2024-09-30,22.32,$2.45,9.11
2024-06-30,24.48,$2.66,9.2
2024-03-31,21.66,$2.86,7.57
2023-12-31,18.29,$2.95,6.2
2023-09-30,16.87,$3.50,4.82
2023-06-30,12.43,$3.71,3.35
2023-03-31,13.55,$2.90,4.67
2022-12-31,9.31,$2.15,4.33
2022-09-30,8.39,$1.17,7.17
2022-06-30,6.72,$0.31,21.67
2022-03-31,6.67,$-0.05,0.0
2021-12-31,5.36,$-0.05,0.0
2021-09-30,7.11,$-0.20,0.0
2021-06-30,6.83,$0.26,26.25
2021-03-31,5.42,$1.40,3.87
2020-12-31,4.72,$2.09,2.26
2020-09-30,4.93,$2.69,1.83
2020-06-30,4.96,$2.34,2.12
2020-03-31,6.27,$1.34,4.68
2019-12-31,8.04,$0.74,10.86
2019-09-30,5.64,$0.34,16.58
2019-06-30,4.96,$0.41,12.09
2019-03-31,4.0,$0.27,14.82
2018-12-31,3.43,$-0.05,0.0
2018-09-30,3.6,$-1.66,0.0
2018-06-30,3.62,$-1.81,0.0
2018-03-31,2.74,$-1.79,0.0
2017-12-31,2.84,$-1.55,0.0
2017-09-30,3.74,$0.03,124.75
2017-06-30,3.55,$0.20,17.75
2017-03-31,4.06,$0.40,10.16
2016-12-31,4.19,$0.74,5.67
2016-09-30,4.18,$0.62,6.73
2016-06-30,4.46,$1.04,4.29
2016-03-31,4.56,$1.50,3.04
2015-12-31,7.86,$2.25,3.49
2015-09-30,6.96,$1.65,4.22
2015-06-30,6.31,$-1.80,0.0
2015-03-31,5.8,$-6.40,0.0
2014-12-31,6.49,$-8.30,0.0
2014-09-30,3.26,$-8.45,0.0
2014-06-30,7.55,$-7.75,0.0
2014-03-31,10.17,$-11.40,0.0
2013-12-31,9.68,$-11.95,0.0
2013-09-30,6.86,$-12.25,0.0
2013-06-30,4.58,$-13.10,0.0
2013-03-31,6.05,$-6.95,0.0
2012-12-31,8.43,$-5.30,0.0
2012-09-30,9.93,$-26.30,0.0
2012-06-30,11.8,$-33.80,0.0
2012-03-31,19.9,$-34.50,0.0
2011-12-31,11.1,$-33.95,0.0
2011-09-30,12.55,$-12.65,0.0
2011-06-30,38.02,$-1.20,0.0
2011-03-31,63.52,$6.25,10.16
2010-12-31,64.82,$10.35,6.26
2010-09-30,71.95,$11.35,6.34
2010-06-30,70.25,$10.20,6.89
2010-03-31,73.8,$6.80,10.85
2009-12-31,65.25,$6.60,9.89
